Account Name,MRR_Calculated,SAAS Amount to Date,Industry_Cluster_Enhanced_V2,Company_Size_V2,Business_Type_V2,Signup Country,Employees,Users,Custom Screens New,Custom Screens Classic,MRR_Rank,MRR_Cumulative_Pct,MRR_Percentile,LTV_Rank,LTV_Cumulative_Pct,LTV_Percentile,MRR_Tier,LTV_Tier
csw2,44.25,,General Wholesale/Distribution,Unknown,B2B,United States,0.0,1.0,0.0,0.0,684.0,94.98601848958236,63.50974930362116,,,,Bottom 50%,No Revenue
ampedsoftwareusa,260.25,,General Retail,Unknown,B2C,United States,0.0,5.0,0.0,0.0,155.0,54.050712865491526,14.391829155060353,,,,Top 20%,No Revenue
handicapsign,53.25,,General Retail,Unknown,B2B,United States,0.0,1.0,0.0,0.0,603.0,92.36693187820947,55.98885793871866,,,,Bottom 50%,No Revenue
bisonoutdoorproducts2,63.75,,General Wholesale/Distribution,Unknown,B2B,United States,0.0,1.0,0.0,0.0,528.0,89.39151874594862,49.02506963788301,,,,Top 50%,No Revenue
environmentalequipment2,53.25,,General Wholesale/Distribution,Unknown,B2B,United States,0.0,1.0,0.0,0.0,600.0,92.25989740692884,55.71030640668524,,,,Bottom 50%,No Revenue
chipmunkhillwoodworking,44.25,,General/Specialty Manufacturing,Small (6-20 employees),B2B,United States,20.0,1.0,0.0,0.0,680.0,94.86742630544046,63.13834726090993,,,,Bottom 50%,No Revenue
williselectricalsalesoftexas,44.25,,General/Specialty Manufacturing,Unknown,B2B,United States,0.0,1.0,0.0,0.0,681.0,94.89707435147594,63.231197771587745,,,,Bottom 50%,No Revenue
protronixcontrols3,5.833333333333333,63.0,General Wholesale/Distribution,Small (6-20 employees),B2B,United States,15.0,2.0,11.0,0.0,1008.0,99.82914685335473,93.59331476323119,986.0,99.99572193005403,99.09547738693468,Bottom 50%,Bottom 50%
cardinalcomms3,44.25,,General Retail,Unknown,Hybrid (B2B & B2C),United States,0.0,1.0,1.0,0.0,676.0,94.74883412129856,62.7669452181987,,,,Bottom 50%,No Revenue
cmshuster,54.75,,Manufacturer Representatives,Unknown,B2B,United States,0.0,1.0,1.0,0.0,585.0,91.7171874117032,54.317548746518106,,,,Bottom 50%,No Revenue
anylabtestnow3,191.25,,General Retail,Unknown,Hybrid (B2B & B2C),United States,0.0,3.0,0.0,0.0,243.0,67.24864943518881,22.56267409470752,,,,Top 50%,No Revenue
earthworksnaturalorganics,147.0,147.0,General Wholesale/Distribution,Micro (1-5 employees),B2B,United States,2.0,4.0,13.0,0.0,310.0,74.76434535363946,28.783658310120707,959.0,99.96769317822007,96.3819095477387,Top 50%,Bottom 50%
bostonwhaler,44.25,,General Wholesale/Distribution,Unknown,B2B,United States,0.0,1.0,0.0,0.0,674.0,94.6895380292276,62.58124419684308,,,,Bottom 50%,No Revenue
masterchefpr2,221.25,221.25,General Wholesale/Distribution,Small (6-20 employees),B2B,United States,11.0,5.0,2.0,0.0,199.0,61.20121855814248,18.477251624883937,933.0,99.91898828636518,93.76884422110552,Top 20%,Bottom 50%
oakridgefoamandcoatingsystemsinc,63.75,63.75,General Wholesale/Distribution,Small (6-20 employees),B2B,United States,12.0,1.0,8.0,0.0,527.0,89.34880545928733,48.9322191272052,983.0,99.99376568347527,98.79396984924624,Top 50%,Bottom 50%
calpacificsupply,53.25,,General Retail,Unknown,B2B,United States,0.0,1.0,0.0,0.0,602.0,92.33125372111593,55.89600742804085,,,,Bottom 50%,No Revenue
abcorlandolumberandhardware2,63.75,,General Wholesale/Distribution,Unknown,B2B,United States,0.0,1.0,0.0,0.0,529.0,89.4342320326099,49.11792014856082,,,,Top 50%,No Revenue
waccessoriesnyc,44.25,,General Wholesale/Distribution,Small (6-20 employees),B2B,United States,19.0,1.0,0.0,0.0,668.0,94.51164975301477,62.024141132776236,,,,Bottom 50%,No Revenue
gonzalezcarpetsuppliesllc,44.25,44.25,General Retail,Medium (21-50 employees),B2C,United States,24.0,1.0,4.0,0.0,669.0,94.54129779905023,62.116991643454035,991.0,99.99831331495768,99.59798994974875,Bottom 50%,Bottom 50%
chicagofirefurniture2,78.0,,General/Specialty Manufacturing,Micro (1-5 employees),B2B,United States,1.0,2.0,0.0,0.0,490.0,87.61196597148027,45.496750232126274,,,,Top 50%,No Revenue
xinyujiangxicn,44.25,,General Wholesale/Distribution,Unknown,B2B,United States,0.0,1.0,0.0,0.0,692.0,95.22320285786617,64.25255338904364,,,,Bottom 50%,No Revenue
pittmanoilcompany,63.75,,General Wholesale/Distribution,Medium (21-50 employees),B2B,United States,25.0,1.0,0.0,0.0,538.0,89.81865161256141,49.9535747446611,,,,Top 50%,No Revenue
brivester,177.0,,General Retail,Unknown,B2C,Kenya,0.0,6.0,0.0,0.0,267.0,70.21395654799123,24.79108635097493,,,,Top 50%,No Revenue
magicbreezekombucha,97.5,97.5,Food & Beverage Dist/Mfg,Small (6-20 employees),B2B,Canada,7.0,2.0,4.0,0.0,434.0,84.41246721217843,40.29712163416899,974.0,99.98672422269289,97.8894472361809,Top 50%,Bottom 50%
tropicalroots,63.75,,General Wholesale/Distribution,Unknown,B2B,United States,0.0,1.0,0.0,0.0,534.0,89.64779846591628,49.58217270194986,,,,Top 50%,No Revenue
indigenousimaginationworkshop,63.75,,"Signs, Graphics & Displays",Unknown,B2B,United States,0.0,1.0,0.0,0.0,539.0,89.86136489922268,50.0464252553389,,,,Bottom 50%,No Revenue
terraboundsolutions,132.75,132.75,General Retail,Micro (1-5 employees),B2C,United States,3.0,3.0,0.0,0.0,320.0,75.72095547176716,29.71216341689879,964.0,99.97494053267127,96.88442211055276,Top 50%,Bottom 50%
deltalogisticsinc,72.75,,General Wholesale/Distribution,Unknown,B2B,United States,0.0,1.0,0.0,0.0,508.0,88.50537159222162,47.168059424326835,,,,Top 50%,No Revenue
ibidmachinery,63.75,,Industrial Equipment & Machinery,Unknown,B2B,United States,0.0,1.0,0.0,0.0,533.0,89.60508517925501,49.48932219127205,,,,Top 50%,No Revenue
luxuryharrods,53.25,,General Wholesale/Distribution,Unknown,B2B,United Arab Emirates,0.0,1.0,0.0,0.0,601.0,92.29557556402239,55.80315691736305,,,,Bottom 50%,No Revenue
ptharargeneraltrading,63.75,,General Wholesale/Distribution,Unknown,B2B,Singapore,0.0,1.0,0.0,0.0,525.0,89.26337888596478,48.74651810584958,,,,Top 50%,No Revenue
hifresh,87.0,,General Wholesale/Distribution,Unknown,B2B,New Zealand,0.0,2.0,1.0,0.0,458.0,85.86276475600421,42.52553389043639,,,,Top 50%,No Revenue
mngfoods,106.5,,General Wholesale/Distribution,Unknown,B2B,New Zealand,0.0,2.0,0.0,0.0,403.0,82.3446416285177,37.41875580315692,,,,Top 50%,No Revenue
expresscrossdockingllc,54.75,54.75,General Wholesale/Distribution,Micro (1-5 employees),B2B,United States,3.0,1.0,0.0,0.0,581.0,91.57045470929033,53.946146703806875,988.0,99.99685922301255,99.2964824120603,Bottom 50%,Bottom 50%
acapp,44.25,,Apparel & Textiles,Unknown,Hybrid (B2B & B2C),United States,0.0,1.0,0.0,0.0,677.0,94.77848216733403,62.85979572887651,,,,Bottom 50%,No Revenue
toronaturallabsltd,54.75,,General Wholesale/Distribution,Unknown,B2B,United States,0.0,1.0,0.0,0.0,582.0,91.60713788489355,54.038997214484674,,,,Bottom 50%,No Revenue
tweezerdistributors,44.25,,Food & Beverage Dist/Mfg,Micro (1-5 employees),Hybrid (B2B & B2C),Uganda,1.0,1.0,0.0,0.0,673.0,94.65988998319213,62.48839368616528,,,,Bottom 50%,No Revenue
zephyrbhs,72.75,,Industrial Equipment & Machinery,Micro (1-5 employees),B2B,United States,1.0,1.0,0.0,0.0,507.0,88.45662819450227,47.07520891364902,,,,Top 50%,No Revenue
stockman,40.0,40.0,General/Specialty Manufacturing,Small (6-20 employees),B2B,United States,8.0,0.0,0.0,0.0,717.0,95.89930114307066,66.57381615598887,995.0,100.0,100.0,Bottom 50%,Bottom 50%
corbymechanicalservices,44.25,,General/Specialty Manufacturing,Medium (21-50 employees),B2B,United Kingdom,29.0,1.0,0.0,0.0,679.0,94.837778259405,63.04549675023212,,,,Bottom 50%,No Revenue
synova,99.0,99.0,General Wholesale/Distribution,Micro (1-5 employees),B2B,United States,4.0,2.0,4.0,0.0,413.0,83.03391682307128,38.347260909935,973.0,99.98572299412896,97.78894472361809,Top 50%,Bottom 50%
frispycrispy,63.75,,Food & Beverage Dist/Mfg,Micro (1-5 employees),B2B,Pakistan,2.0,1.0,0.0,0.0,522.0,89.13523902598094,48.467966573816156,,,,Top 50%,No Revenue
maritimegoodfood,109.5,,General Wholesale/Distribution,Unknown,B2B,Canada,0.0,2.0,5.0,0.0,396.0,81.84079234899956,36.768802228412255,,,,Top 50%,No Revenue
manexusa5,228.0,544.0,General/Specialty Manufacturing,Medium (21-50 employees),B2B,United States,32.0,4.0,5.0,0.0,194.0,60.45063723449861,18.012999071494892,846.0,99.5789371783194,85.02512562814071,Top 20%,Bottom 50%
supremeconceptsproprietarylimited,44.25,,General Retail,Unknown,B2B,Botswana,0.0,1.0,0.0,0.0,671.0,94.60059389112118,62.302692664809655,,,,Bottom 50%,No Revenue
preferpack,54.75,,General Wholesale/Distribution,Small (6-20 employees),B2B,United States,6.0,1.0,5.0,0.0,583.0,91.64382106049675,54.13184772516249,,,,Bottom 50%,No Revenue
jollygl,14.166666666666666,151.4,General Wholesale/Distribution,Unknown,B2B,United States,0.0,2.0,0.0,0.0,902.0,99.13233401997879,83.75116063138347,957.0,99.96467408901192,96.18090452261306,Bottom 50%,Bottom 50%
jandgculvertsinc,44.25,,General Wholesale/Distribution,Micro (1-5 employees),B2B,United States,1.0,1.0,0.0,0.0,672.0,94.63024193715665,62.39554317548747,,,,Bottom 50%,No Revenue
rivergatedoorsupply,164.25,190.5,General Wholesale/Distribution,Micro (1-5 employees),B2B,Canada,1.0,4.0,1.0,0.0,278.0,71.46503708945433,25.81244196843083,944.0,99.9416032156463,94.87437185929647,Top 50%,Bottom 50%
fabbian,53.25,,General Wholesale/Distribution,Unknown,B2B,United States,0.0,1.0,0.0,0.0,599.0,92.22421924983531,55.61745589600743,,,,Bottom 50%,No Revenue
bmdistributorsllc,127.5,,Food & Beverage Dist/Mfg,Micro (1-5 employees),Hybrid (B2B & B2C),United States,1.0,2.0,0.0,0.0,331.0,76.67371301894109,30.73351903435469,,,,Top 50%,No Revenue
marlinzpharma2,106.5,106.5,General Wholesale/Distribution,Small (6-20 employees),B2B,United States,12.0,2.0,6.0,0.0,401.0,82.20192900014355,37.2330547818013,971.0,99.98361271238652,97.58793969849246,Top 50%,Bottom 50%
theappliancebarnfl,44.25,,General Retail,Micro (1-5 employees),B2B,United States,1.0,1.0,0.0,0.0,675.0,94.71918607526308,62.67409470752089,,,,Bottom 50%,No Revenue
dragonpowerpromo,63.75,63.75,General Wholesale/Distribution,Unknown,B2B,United States,0.0,1.0,0.0,0.0,531.0,89.51965860593245,49.30362116991643,985.0,99.99507498236657,98.99497487437185,Top 50%,Bottom 50%
agoradistributioninc,105.75,,General/Specialty Manufacturing,Small (6-20 employees),B2B,Canada,15.0,3.0,0.0,0.0,404.0,82.41549543344993,37.511606313834726,,,,Top 50%,No Revenue
bluewatercas2,164.25,328.5,"Chemicals, Plastics & Rubber",Small (6-20 employees),B2B,United States,8.0,3.0,1.0,0.0,279.0,71.57508661626399,25.90529247910863,902.0,99.83186753813877,90.65326633165829,Top 50%,Bottom 50%
cotektheamericas,156.0,156.0,General Wholesale/Distribution,Small (6-20 employees),B2B,Canada,6.0,4.0,0.0,0.0,291.0,72.85883025929158,27.019498607242337,956.0,99.96311936075983,96.08040201005025,Top 50%,Bottom 50%
garcyusa,54.75,,General/Specialty Manufacturing,Unknown,B2B,United States,0.0,1.0,0.0,0.0,584.0,91.68050423609998,54.22469823584029,,,,Bottom 50%,No Revenue
test212,44.25,,General Wholesale/Distribution,Unknown,B2B,United States,0.0,1.0,0.0,0.0,678.0,94.80813021336951,62.95264623955432,,,,Bottom 50%,No Revenue
cravenscoffee,109.5,,General Wholesale/Distribution,Medium (21-50 employees),B2B,United States,25.0,2.0,0.0,0.0,397.0,81.91415870020599,36.86165273909007,,,,Top 50%,No Revenue
octopusgdn,70.5,44.25,Food & Beverage Dist/Mfg,Micro (1-5 employees),B2B,United States,3.0,1.0,0.0,0.0,511.0,88.64841922676567,47.44661095636026,992.0,99.99876771869054,99.69849246231156,Top 50%,Bottom 50%
joeythecoffeeguy,63.75,,Food & Beverage Dist/Mfg,Micro (1-5 employees),B2B,United States,1.0,1.0,0.0,0.0,541.0,89.94679147254524,50.23212627669452,,,,Bottom 50%,No Revenue
aeromarinebiotechllc,63.75,,General/Specialty Manufacturing,Unknown,B2B,United States,0.0,1.0,0.0,0.0,542.0,89.98950475920651,50.324976787372336,,,,Bottom 50%,No Revenue
ssisanitary,127.5,452.5,General Wholesale/Distribution,Unknown,B2B,United States,0.0,2.0,12.0,0.0,333.0,76.84456616558622,30.919220055710305,873.0,99.71678786735256,87.73869346733669,Top 50%,Bottom 50%
trikketechinc,62.25,,General/Specialty Manufacturing,Medium (21-50 employees),B2B,United States,25.0,1.0,0.0,0.0,546.0,90.15851537191722,50.69637883008357,,,,Bottom 50%,No Revenue
dukesmetal,33.75,,General Wholesale/Distribution,Small (6-20 employees),B2B,Canada,17.0,1.0,0.0,0.0,760.0,96.99544133095853,70.56638811513464,,,,Bottom 50%,No Revenue
simplywardrobes,44.25,,General Retail,Unknown,B2B,New Zealand,0.0,1.0,0.0,0.0,670.0,94.5709458450857,62.20984215413184,,,,Bottom 50%,No Revenue
novalighting,13.083333333333334,53.1,General Wholesale/Distribution,Large (51-200 employees),B2B,Canada,98.0,1.0,0.0,0.0,913.0,99.2321100242451,84.77251624883937,989.0,99.99740450749198,99.39698492462311,Bottom 50%,Bottom 50%
allmakeappliances,259.5,574.0,General Retail,Unknown,B2C,United States,0.0,6.0,8.0,0.0,157.0,54.39878427600971,14.577530176415971,839.0,99.5387314333459,84.321608040201,Top 20%,Bottom 50%
honestwaterfilter,351.0,72.75,General Wholesale/Distribution,Unknown,B2B,United States,0.0,1.0,5.0,0.0,105.0,44.05666140254721,9.749303621169917,982.0,99.99311103402964,98.69346733668341,Top 10%,Bottom 50%
advancedmarinefabricationllc2,44.25,44.25,Apparel & Textiles,Small (6-20 employees),B2B,United States,6.0,1.0,0.0,0.0,682.0,94.92672239751143,63.32404828226556,990.0,99.99785891122484,99.49748743718592,Bottom 50%,Bottom 50%
wcsoilworks,191.25,191.25,General/Specialty Manufacturing,Micro (1-5 employees),B2B,United States,1.0,3.0,0.0,0.0,245.0,67.50492915515647,22.748375116063137,943.0,99.93964696906755,94.77386934673366,Top 50%,Bottom 50%
hyfloequipmentcompany3,177.0,177.0,General/Specialty Manufacturing,Small (6-20 employees),B2B,United States,10.0,4.0,10.0,0.0,266.0,70.09536436384933,24.698235840297123,950.0,99.95287858962776,95.47738693467338,Top 50%,Bottom 50%
lubelska,156.75,156.75,General Retail,Micro (1-5 employees),B2C,United Kingdom,5.0,3.0,8.0,0.0,290.0,72.75430833428517,26.92664809656453,955.0,99.96151739505754,95.97989949748744,Top 50%,Bottom 50%
metspeedlabel,7.083333333333333,75.7,General/Specialty Manufacturing,Small (6-20 employees),B2B,United States,7.0,1.0,1.0,0.0,988.0,99.74288276460746,91.73630454967501,978.0,99.99009451207421,98.29145728643216,Bottom 50%,Bottom 50%
fetterenterprisesincdbadebrovys,63.75,127.5,General Wholesale/Distribution,Unknown,B2B,United States,0.0,1.0,1.0,0.0,537.0,89.77593832590013,49.86072423398329,965.0,99.97624983156255,96.98492462311557,Top 50%,Bottom 50%
stickersandmore4,37.25,1320.5,General/Specialty Manufacturing,Unknown,B2B,United States,0.0,8.0,13.0,0.0,742.0,96.56205501584108,68.89507892293408,724.0,98.46145622255956,72.76381909547739,Bottom 50%,Bottom 50%
cmtenvironmetnalcontrols,44.25,88.5,General Wholesale/Distribution,Unknown,B2B,Canada,0.0,1.0,0.0,0.0,683.0,94.95637044354689,63.416898792943364,975.0,99.98763303015859,97.98994974874373,Bottom 50%,Bottom 50%
aragososouthllc,36.75,73.5,General Wholesale/Distribution,Micro (1-5 employees),B2B,United States,5.0,1.0,5.0,0.0,751.0,96.78449911264963,69.73073351903436,981.0,99.99236396348579,98.5929648241206,Bottom 50%,Bottom 50%
battlerattle,350.25,704.25,General Wholesale/Distribution,Small (6-20 employees),B2B,United States,10.0,8.0,2.0,0.0,106.0,44.29133322455683,9.842154131847725,813.0,99.36988835592953,81.70854271356785,Top 10%,Bottom 50%
risecannabis,53.25,106.5,General Retail,Micro (1-5 employees),Hybrid (B2B & B2C),United States,3.0,1.0,0.0,0.0,596.0,92.1171847785547,55.33890436397401,972.0,99.98470636204866,97.68844221105527,Bottom 50%,Bottom 50%
revivalhome,14.75,318.6,General Retail,Micro (1-5 employees),B2B,United States,2.0,3.0,1.0,0.0,894.0,99.05556177271177,83.008356545961,904.0,99.83846640455086,90.85427135678393,Bottom 50%,Bottom 50%
terrastonellc2,54.75,118.5,Building Materials & Construction,Unknown,B2B,United States,0.0,1.0,2.0,0.0,580.0,91.53377153368712,53.85329619312906,970.0,99.98251906272438,97.48743718592965,Bottom 50%,Bottom 50%
sigscompany,88.5,177.0,General Wholesale/Distribution,Unknown,B2B,United States,0.0,2.0,0.0,0.0,457.0,85.80447368244293,42.43268337975859,951.0,99.9546962045592,95.57788944723619,Top 50%,Bottom 50%
ipibybison,36.75,73.5,General/Specialty Manufacturing,Unknown,B2B,United States,0.0,1.0,5.0,0.0,749.0,96.73525320567545,69.54503249767873,980.0,99.99160919118376,98.49246231155779,Bottom 50%,Bottom 50%
americansafetyandfirehouse,127.5,255.0,General Wholesale/Distribution,Small (6-20 employees),B2B,United States,11.0,2.0,6.0,0.0,332.0,76.75913959226365,30.8263695450325,922.0,99.89189606832639,92.66331658291456,Top 50%,Bottom 50%
missionlaundryequipment3,12.25,264.0,General Wholesale/Distribution,Small (6-20 employees),B2B,United States,9.0,3.0,7.0,0.0,917.0,99.26521980070281,85.1439182915506,918.0,99.8811854899451,92.26130653266331,Bottom 50%,Bottom 50%
cassinala2,183.0,305.0,General Retail,Unknown,Hybrid (B2B & B2C),United States,0.0,3.0,10.0,0.0,263.0,69.73288768802577,24.419684308263694,908.0,99.85108701896179,91.25628140703517,Top 50%,Bottom 50%
jdcsupply,40.0,80.0,General Wholesale/Distribution,Small (6-20 employees),B2B,United States,7.0,1.0,4.0,0.0,709.0,95.68489719433954,65.83101207056639,977.0,99.98931714794817,98.19095477386935,Bottom 50%,Bottom 50%
evenmix,61.0,122.0,General/Specialty Manufacturing,Small (6-20 employees),B2B,United States,17.0,1.0,0.0,0.0,566.0,90.97593042645464,52.55338904363974,968.0,99.98006990362185,97.28643216080401,Bottom 50%,Bottom 50%
faxexpress4,214.0,392.0,Office Supplies & Equipment,Unknown,B2B,United States,0.0,5.0,11.0,0.0,208.0,62.51846281815933,19.312906220984217,886.0,99.77255886561606,89.04522613065326,Top 20%,Bottom 50%
echolifellc,73.0,146.0,General Retail,Unknown,B2B,United States,0.0,1.0,0.0,0.0,499.0,88.06550849115291,46.33240482822655,961.0,99.97070199841731,96.58291457286433,Top 50%,Bottom 50%
brazukacorp,40.0,160.0,General Wholesale/Distribution,Micro (1-5 employees),B2B,United States,3.0,2.0,5.0,0.0,705.0,95.57769521997398,65.45961002785515,954.0,99.95990772759707,95.87939698492463,Bottom 50%,Bottom 50%
peakperformancecampers,37.0,74.0,General/Specialty Manufacturing,Unknown,B2B,United States,0.0,1.0,0.0,0.0,746.0,96.66121684212922,69.26648096564531,979.0,99.9908544188817,98.39195979899498,Bottom 50%,Bottom 50%
airtecusa,61.0,134.0,General Wholesale/Distribution,Micro (1-5 employees),B2B,United States,5.0,1.0,2.0,0.0,556.0,90.56722289918594,51.62488393686166,963.0,99.97357732147269,96.78391959798995,Bottom 50%,Bottom 50%
bcfluidpowerofflorence2,8.166666666666666,176.0,General Wholesale/Distribution,Micro (1-5 employees),B2B,United States,2.0,2.0,4.0,0.0,974.0,99.66856722925307,90.4363974001857,952.0,99.95650355047972,95.67839195979899,Bottom 50%,Bottom 50%
