Quadrant,Industry,Company_Size,Customer_Count,Avg_MRR,Avg_LTV
Base Customers,General Retail,Medium (21-50 employees),3,30.805555555555554,1958.9166666666667
Base Customers,Building Materials & Construction,Unknown,3,34.97222222222222,259.5
At Risk,General Retail,Medium (21-50 employees),3,19.083333333333332,10311.0
At Risk,Furniture & Home Furnishings,Small (6-20 employees),3,27.5,21946.0
Base Customers,General/Specialty Manufacturing,Large (51-200 employees),3,27.055555555555554,2136.0
Rising Stars,Food & Beverage Dist/Mfg,Micro (1-5 employees),2,87.25,1790.125
Core Champions,Sporting Goods & Fitness Equipment,Medium (21-50 employees),2,337.0,21043.5
At Risk,Building Materials & Construction,Small (6-20 employees),2,42.04166666666667,35048.225
Core Champions,Office Supplies & Equipment,Small (6-20 employees),2,191.5,15713.5
Rising Stars,Office Supplies & Equipment,Unknown,2,217.5,1036.0
Core Champions,Safety & Security Equipment,Micro (1-5 employees),2,121.0,17536.0
Core Champions,Electronics & Technology,Large (51-200 employees),2,1791.0,195290.0
Core Champions,Medical Equipment & Supplies,Small (6-20 employees),2,282.5,22449.62
Core Champions,Building Materials & Construction,Unknown,2,260.5,9594.0
At Risk,Medical Equipment & Supplies,Micro (1-5 employees),2,20.75,22587.25
At Risk,Metal Fabrication & Steel,Large (51-200 employees),2,35.25,16051.15
At Risk,Safety & Security Equipment,Large (51-200 employees),2,7.5,11860.25
Base Customers,Apparel & Textiles,Unknown,2,31.666666666666668,769.0
Base Customers,Food & Beverage Dist/Mfg,Micro (1-5 employees),2,18.083333333333332,1803.0
Base Customers,General/Specialty Manufacturing,Enterprise (200+ employees),2,32.541666666666664,201.5
Core Champions,Apparel & Textiles,Large (51-200 employees),2,244.0,52973.770000000004
Core Champions,Electrical & Lighting Equipment,Small (6-20 employees),2,400.0,28200.0
Core Champions,Medical Equipment & Supplies,Micro (1-5 employees),2,280.0,104365.5
At Risk,Food & Beverage Dist/Mfg,Small (6-20 employees),2,12.0,9289.25
Core Champions,Food & Beverage Dist/Mfg,Micro (1-5 employees),2,289.5,17722.0
Core Champions,Food & Beverage Dist/Mfg,Unknown,2,469.5,23428.0
Core Champions,General Retail,Unknown,2,129.0,6992.0
Core Champions,Manufacturer Representatives,Micro (1-5 employees),2,112.0,7941.5
Core Champions,Manufacturer Representatives,Small (6-20 employees),2,483.0,19966.5
Core Champions,Medical Equipment & Supplies,Medium (21-50 employees),2,677.5,50932.5
Rising Stars,Safety & Security Equipment,Unknown,2,236.0,2351.5
