account,company_name,industry,sub_industry,workflow_pattern,classification_source,confidence,ltv,mrr,users,account_age_days,annual_sales,qb_customers,health_score,total_events,invoices,estimates,opportunities,activities,industry_account_count,industry_avg_ltv,industry_median_ltv,industry_total_ltv,industry_avg_users,industry_median_users,industry_avg_mrr,industry_median_mrr,industry_avg_invoices,industry_avg_estimates,industry_avg_opportunities,industry_avg_activities,sub_account_count,sub_avg_ltv,sub_median_ltv,sub_avg_users,sub_median_users,sub_avg_mrr,sub_avg_invoices,sub_avg_estimates,sub_avg_opportunities,sub_avg_activities,website,description,product_types,product_complexity,mwd_vertical,sector,signup_date,qbo_industry
burnewiin2,Blue Line LLC,Other,Unclassified,crm_pipeline,unclassified,,484.0,,4.0,,887664,1799.0,18.0,10,0,0,10,0,152,6979.17,3633.75,1060834.36,4.39,3.0,425.19,360.0,67.87,106.99,45.09,274.05,,,,,,,,,,,,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Manufacturing (MWD),,2025-10-13,Manufacturing
gorillahammers4,Tech Hydraulics & Gorilla Hammers,Other,Unclassified,crm_pipeline,unclassified,,828.0,,6.0,,91679,4816.0,23.0,261,0,69,192,0,152,6979.17,3633.75,1060834.36,4.39,3.0,425.19,360.0,67.87,106.99,45.09,274.05,,,,,,,,,,,,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Wholesale and distribution services (MWD),,2025-10-10,
lumerasolarinc,Lumera Solar Inc.,Electrical,Solar,crm_pipeline,llm_classification,medium,227.0,,1.0,,427980,401.0,23.0,14,0,0,14,0,10,5696.98,2018.88,56969.75,3.9,3.5,268.5,259.0,330.5,299.9,76.9,2105.5,1.0,227.0,227.0,1.0,1.0,,0.0,0.0,14.0,0.0,,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Manufacturing (MWD),,2025-10-09,
moderncompressorsales,Modern Compressor,Industrial,Compressor Equipment,quote_driven,manual_verification,high,570.0,0.0,6.0,0.0,2410967,3569.0,50.0,2752,332,443,0,1977,44,13235.79,8126.12,582374.63,7.7,6.0,509.0,371.5,1263.32,809.02,102.5,3404.82,1.0,570.0,570.0,6.0,6.0,0.0,332.0,443.0,0.0,1977.0,,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Manufacturing (MWD),,2025-10-06,
acentel,"Advanced Chemical Concepts, Inc.",Other,Unclassified,quote_driven,unclassified,,4338.0,,22.0,,28154910,940.0,55.0,32,0,32,0,0,152,6979.17,3633.75,1060834.36,4.39,3.0,425.19,360.0,67.87,106.99,45.09,274.05,,,,,,,,,,,,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Wholesale and distribution services (MWD),,2025-10-06,WholesaleDistributionandSales
nxtchlng,Charles Alan Furniture,Construction & Building,Doors & Windows,crm_pipeline,llm_classification,medium,344.0,,2.0,,3486906,96.0,28.0,10,0,0,10,0,66,12844.24,6291.27,847719.61,6.26,4.0,539.74,416.0,636.97,417.21,265.94,2829.94,13.0,7882.36,7082.1,4.62,4.0,361.75,63.46,397.92,157.15,1037.23,,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Manufacturing (MWD),,2025-10-01,Institutional furniture manufacturing
radsuramerica,RAD SurAmerica,Other,Unclassified,quote_driven,unclassified,,1787.25,,8.0,0.0,10258038,416.0,51.0,96,0,96,0,0,152,6979.17,3633.75,1060834.36,4.39,3.0,425.19,360.0,67.87,106.99,45.09,274.05,,,,,,,,,,,,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Wholesale and distribution services (MWD),,2025-09-30,WholesaleDistributionandSales
gothamlgt,Gotham Lighting Supply,Other,Unclassified,quote_driven,unclassified,,4081.0,,15.0,,0,2004.0,28.0,77,0,77,0,0,152,6979.17,3633.75,1060834.36,4.39,3.0,425.19,360.0,67.87,106.99,45.09,274.05,,,,,,,,,,,,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Wholesale and distribution services (MWD),,2025-09-29,
hendersonenterprises,Henderson Enterprises,Other,Unclassified,quote_driven,unclassified,,324.0,,2.0,,6049724,2174.0,48.0,84,0,67,17,0,152,6979.17,3633.75,1060834.36,4.39,3.0,425.19,360.0,67.87,106.99,45.09,274.05,,,,,,,,,,,,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Wholesale and distribution services (MWD),,2025-09-26,
appenninofoodusa,Appennino USA Corp.,Food & Beverage,Spirits,transactional,llm_classification,medium,1101.0,,7.0,,4753766,215.0,33.0,509,509,0,0,0,104,8471.14,5181.5,880999.07,5.68,4.0,458.81,380.0,594.49,252.85,46.83,1631.37,55.0,9685.97,6164.0,6.35,5.0,460.79,319.15,316.82,62.55,1506.22,,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Wholesale and distribution services (MWD),,2025-09-25,
sierracontainergroup,Sierra Container Group,Other,Unclassified,crm_pipeline,unclassified,,1102.5,,10.0,,77293163,1316.0,32.0,13,0,0,13,0,152,6979.17,3633.75,1060834.36,4.39,3.0,425.19,360.0,67.87,106.99,45.09,274.05,,,,,,,,,,,,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Manufacturing (MWD),,2025-09-23,
cuveecoffee,Cuvee Coffee,Food & Beverage,Coffee Roasting,crm_pipeline,manual_verification,high,366.0,,1.0,,4855049,278.0,23.0,47,0,0,47,0,104,8471.14,5181.5,880999.07,5.68,4.0,458.81,380.0,594.49,252.85,46.83,1631.37,2.0,447.0,447.0,2.5,2.5,,0.0,0.0,32.5,0.0,,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Wholesale and distribution services (MWD),,2025-09-22,
fibercablesdirect,"Fiber Cables Direct, Inc.",Technology,Fiber Optics,quote_driven,manual_verification,high,579.0,,4.0,,2797681,64869.0,35.0,230,97,133,0,0,21,21170.08,7220.0,444571.62,10.1,5.0,1088.5,385.5,34.29,1004.1,241.38,2319.62,1.0,579.0,579.0,4.0,4.0,,97.0,133.0,0.0,0.0,,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Manufacturing (MWD),,2025-09-19,
koolwaysports,Koolway Sports,Consumer Goods,Adaptive Fashion,crm_pipeline,manual_verification,high,206.0,,1.0,,133080,2499.0,64.0,8,0,0,8,0,70,9459.47,5551.25,662162.6,6.61,5.0,403.92,366.0,552.67,547.01,212.17,3277.57,1.0,206.0,206.0,1.0,1.0,,0.0,0.0,8.0,0.0,,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Manufacturing (MWD),,2025-09-19,
icustomlabel,iCustomLabel dba Coastal Customs,Food & Beverage,Spirits,crm_pipeline,llm_classification,medium,440.0,,2.0,,69435,3409.0,23.0,11,0,0,11,0,104,8471.14,5181.5,880999.07,5.68,4.0,458.81,380.0,594.49,252.85,46.83,1631.37,55.0,9685.97,6164.0,6.35,5.0,460.79,319.15,316.82,62.55,1506.22,,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Wholesale and distribution services (MWD),,2025-09-18,
audioconcepts,AudioConcepts,Consumer Goods,Jewelry,crm_pipeline,llm_classification,medium,592.0,,4.0,,0,13507.0,18.0,38,0,0,38,0,70,9459.47,5551.25,662162.6,6.61,5.0,403.92,366.0,552.67,547.01,212.17,3277.57,34.0,10528.72,6577.0,6.91,6.0,434.15,563.74,601.68,253.94,2121.71,,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Retail,,2025-09-18,Audio and video equipment retail
blackstonesportsinc2,Black Stone Sports®,Construction & Building,Concrete/Masonry,crm_pipeline,llm_classification,medium,879.0,,5.0,,1164970,7792.0,12.0,68,0,0,68,0,66,12844.24,6291.27,847719.61,6.26,4.0,539.74,416.0,636.97,417.21,265.94,2829.94,6.0,11958.5,3598.5,7.0,5.5,372.0,583.83,535.33,207.33,3070.33,,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Manufacturing (MWD),,2025-09-17,
industrialodorcontrol2,Industrial Odor Control,Other,Unclassified,crm_pipeline,unclassified,,432.0,,2.0,,1052340,8693.0,50.0,82,0,40,42,0,152,6979.17,3633.75,1060834.36,4.39,3.0,425.19,360.0,67.87,106.99,45.09,274.05,,,,,,,,,,,,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Manufacturing (MWD),,2025-09-15,GeneralProductbasedBusiness
wmuniformgroup,WM Uniform Group Inc.,Other,Unclassified,crm_pipeline,unclassified,,244.0,,1.0,,674284,2556.0,39.0,22,0,0,22,0,152,6979.17,3633.75,1060834.36,4.39,3.0,425.19,360.0,67.87,106.99,45.09,274.05,,,,,,,,,,,,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Wholesale and distribution services (MWD),,2025-09-15,OtherNone
commonwealthindustrialinc,"Commonwealth Industrial, Inc.",Food & Beverage,Spirits,crm_pipeline,llm_classification,medium,564.0,,5.0,,854264,108.0,23.0,9,0,0,9,0,104,8471.14,5181.5,880999.07,5.68,4.0,458.81,380.0,594.49,252.85,46.83,1631.37,55.0,9685.97,6164.0,6.35,5.0,460.79,319.15,316.82,62.55,1506.22,,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Manufacturing (MWD),,2025-09-14,"manufacturing equipment sales, service, maintenance"
woodlabuae,Woodlab Carpentry LLC,Construction & Building,Lumber,quote_driven,llm_classification,medium,240.0,,2.0,,1952400,169.0,40.0,68,0,68,0,0,66,12844.24,6291.27,847719.61,6.26,4.0,539.74,416.0,636.97,417.21,265.94,2829.94,5.0,5443.52,2736.0,3.2,2.0,,0.0,56.4,41.4,1793.6,,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Manufacturing (MWD),,2025-09-08,Manufacturing
geotoolsusa,GEOTOOLS LLC,Industrial,Tools/Hardware,crm_pipeline,llm_classification,medium,366.0,,2.0,,1772736,60.0,55.0,20,0,0,20,0,44,13235.79,8126.12,582374.63,7.7,6.0,509.0,371.5,1263.32,809.02,102.5,3404.82,5.0,6199.65,7583.25,4.6,6.0,330.5,828.4,194.2,145.0,499.6,,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Manufacturing (MWD),,2025-08-30,Manufacturing
socalfencesupply2,So Cal Fence Supply,Construction & Building,Fencing/Decking,transactional,llm_classification,medium,1098.0,,4.0,,1912491,2496.0,44.0,915,515,316,84,0,66,12844.24,6291.27,847719.61,6.26,4.0,539.74,416.0,636.97,417.21,265.94,2829.94,3.0,3367.67,1864.0,4.33,4.0,208.0,344.0,411.33,419.33,0.0,,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Wholesale and distribution services (MWD),,2025-08-29,GeneralProductbasedBusiness
diamondbladedistributorsllc,LATUX DIAMOND BLADE,Consumer Goods,Jewelry,transactional,llm_classification,medium,1323.0,,9.0,,8343905,19089.0,41.0,62,62,0,0,0,70,9459.47,5551.25,662162.6,6.61,5.0,403.92,366.0,552.67,547.01,212.17,3277.57,34.0,10528.72,6577.0,6.91,6.0,434.15,563.74,601.68,253.94,2121.71,,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Wholesale and distribution services (MWD),,2025-08-28,WholesaleDistributionandSales
planesights,Redfab Inc.,Industrial,Aerospace Safety Equipment,crm_pipeline,llm_classification,medium,171.5,,1.0,,418529,352.0,20.0,10,0,0,10,0,44,13235.79,8126.12,582374.63,7.7,6.0,509.0,371.5,1263.32,809.02,102.5,3404.82,1.0,171.5,171.5,1.0,1.0,,0.0,0.0,10.0,0.0,,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Manufacturing (MWD),,2025-08-27,GeneralProductbasedBusiness
questonedistributors,Quest One Distributors,Construction & Building,Concrete/Masonry,crm_pipeline,llm_classification,medium,407.0,,3.0,,2589390,717.0,33.0,18,0,0,18,0,66,12844.24,6291.27,847719.61,6.26,4.0,539.74,416.0,636.97,417.21,265.94,2829.94,6.0,11958.5,3598.5,7.0,5.5,372.0,583.83,535.33,207.33,3070.33,,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Wholesale and distribution services (MWD),,2025-08-27,
namesakebrewing,Namesake Brewing Ltd.,Food & Beverage,Craft Beer,crm_pipeline,manual_verification,high,303.0,,2.0,,182801,308.0,66.0,9,0,0,9,0,104,8471.14,5181.5,880999.07,5.68,4.0,458.81,380.0,594.49,252.85,46.83,1631.37,13.0,6274.6,4576.0,2.69,2.0,342.0,352.46,189.85,31.31,585.62,,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Manufacturing (MWD),,2025-08-27,
stevenenterprises2,Steven Enterprises Inc,Other,Unclassified,quote_driven,unclassified,,3372.5,,15.0,0.0,5752542,5059.0,50.0,2440,0,348,0,2092,152,6979.17,3633.75,1060834.36,4.39,3.0,425.19,360.0,67.87,106.99,45.09,274.05,,,,,,,,,,,,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Retail,,2025-08-26,GeneralProductbasedBusiness
smakdab,SMAK DAB FOODS LTD.,Food & Beverage,Wine,transactional,llm_classification,medium,308.0,,2.0,,393005,672.0,23.0,59,59,0,0,0,104,8471.14,5181.5,880999.07,5.68,4.0,458.81,380.0,594.49,252.85,46.83,1631.37,7.0,4562.69,2401.0,3.86,3.0,378.0,236.0,0.0,10.71,748.0,,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Manufacturing (MWD),,2025-08-26,
georgiapowdercoating3,"Georgia Powder Coating, Inc.",Manufacturing,Powder Coating Services,transactional,llm_classification,medium,3120.0,0.0,16.0,0.0,10479206,1149.0,65.0,12812,5088,2340,0,5384,26,9205.66,3855.5,239347.07,4.35,3.0,291.12,343.5,503.77,278.77,160.12,2463.77,1.0,3120.0,3120.0,16.0,16.0,0.0,5088.0,2340.0,0.0,5384.0,,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Manufacturing (MWD),Powder coatings manufacturing,2025-08-21,Powder Coating
accesscasters3,"Access Casters, Inc.",Industrial,Casters & Wheels,crm_pipeline,manual_verification,high,629.0,,5.0,,0,51054.0,9.0,102,0,0,102,0,44,13235.79,8126.12,582374.63,7.7,6.0,509.0,371.5,1263.32,809.02,102.5,3404.82,1.0,629.0,629.0,5.0,5.0,,0.0,0.0,102.0,0.0,accesscasters.com,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Wholesale and distribution services (MWD),,2025-08-21,wholesale_distribution
davishoseinc,"Davis Hose and Supply, Inc.",Industrial,Industrial Hose,transactional,manual_verification,high,1045.0,,5.0,,2197710,513.0,49.0,1996,1823,173,0,0,44,13235.79,8126.12,582374.63,7.7,6.0,509.0,371.5,1263.32,809.02,102.5,3404.82,1.0,1045.0,1045.0,5.0,5.0,,1823.0,173.0,0.0,0.0,,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Retail,,2025-08-21,Industrial supplies merchant wholesalers
capitalabrasivesllc,Capital Abrasives LLC,Industrial,Abrasives,crm_pipeline,llm_classification,medium,551.25,,3.0,,0,800.0,7.0,105,0,0,105,0,44,13235.79,8126.12,582374.63,7.7,6.0,509.0,371.5,1263.32,809.02,102.5,3404.82,2.0,4797.62,4797.62,3.5,3.5,,0.0,0.0,52.5,1523.5,,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Wholesale and distribution services (MWD),,2025-08-18,WholesaleDistributionandSales
harbertcastingrepair,HARBERT CASTING REPAIR SERVICE COMPANY,Manufacturing,Machining & Repair,quote_driven,llm_classification,medium,1992.5,,2.0,,1087402,6670.0,55.0,373,156,217,0,0,26,9205.66,3855.5,239347.07,4.35,3.0,291.12,343.5,503.77,278.77,160.12,2463.77,1.0,1992.5,1992.5,2.0,2.0,,156.0,217.0,0.0,0.0,,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Manufacturing (MWD),,2025-08-17,Machine shops
gulfharvest2,"Gulf Harvest Seafood, LLC",Other,Unclassified,transactional,unclassified,,355.0,,2.0,,3804444,226.0,25.0,230,230,0,0,0,152,6979.17,3633.75,1060834.36,4.39,3.0,425.19,360.0,67.87,106.99,45.09,274.05,,,,,,,,,,,,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Wholesale and distribution services (MWD),,2025-08-13,OtherNone
categorycreations,Category Creations Llc,Other,Unclassified,transactional,unclassified,,2968.0,,8.0,,767518,2012.0,44.0,116,116,0,0,0,152,6979.17,3633.75,1060834.36,4.39,3.0,425.19,360.0,67.87,106.99,45.09,274.05,,,,,,,,,,,,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Wholesale and distribution services (MWD),,2025-08-13,Other miscellaneous nondurable goods merchant wholesalers
ezbrandsllc,EZ Brands LLC,Consumer Goods,Promotional Products,transactional,llm_classification,medium,861.0,,6.0,0.0,1243881,1805.0,54.0,176,109,67,0,0,70,9459.47,5551.25,662162.6,6.61,5.0,403.92,366.0,552.67,547.01,212.17,3277.57,5.0,8159.7,2713.0,4.2,5.0,245.0,679.4,1051.2,45.8,3516.6,,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Wholesale and distribution services (MWD),,2025-08-07,
armal,Armal Inc.,Manufacturing,Portable Sanitation,crm_pipeline,llm_classification,medium,1646.25,0.0,7.0,0.0,4014571,1503.0,35.0,1686,0,197,315,1174,26,9205.66,3855.5,239347.07,4.35,3.0,291.12,343.5,503.77,278.77,160.12,2463.77,1.0,1646.25,1646.25,7.0,7.0,0.0,0.0,197.0,315.0,1174.0,armal.biz,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Manufacturing (MWD),,2025-08-06,All other plastics product manufacturing
heavisideindustriesinc,"Heaviside Industries, Inc",Other,Unclassified,crm_pipeline,unclassified,,2094.75,,12.0,,6740011,82.0,7.0,62,0,0,62,0,152,6979.17,3633.75,1060834.36,4.39,3.0,425.19,360.0,67.87,106.99,45.09,274.05,,,,,,,,,,,,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Manufacturing (MWD),,2025-08-06,Manufacturing
steelecomponents,"Steele Components and Ammo, LLC",Industrial,Ammunition Components,crm_pipeline,llm_classification,medium,220.0,,1.0,,2133329,359.0,53.0,12,0,0,12,0,44,13235.79,8126.12,582374.63,7.7,6.0,509.0,371.5,1263.32,809.02,102.5,3404.82,1.0,220.0,220.0,1.0,1.0,,0.0,0.0,12.0,0.0,,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Wholesale and distribution services (MWD),,2025-08-06,GeneralServicebasedBusiness
sitepieces2,Site Pieces,Furniture,Outdoor Site Furnishings,crm_pipeline,llm_classification,medium,2293.25,,4.0,,10751669,8076.0,35.0,12,0,0,12,0,16,13490.53,10213.0,215848.42,5.12,5.0,379.6,312.0,569.12,965.19,261.12,2519.56,1.0,2293.25,2293.25,4.0,4.0,,0.0,0.0,12.0,0.0,sitepieces.com,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Wholesale and distribution services (MWD),,2025-08-05,
