Account Name,Cancellation Reason,Cancellation Reason Other,Tenure_Months,Last Invoice $,Employees,Customers,Sign Up Date,Cancellation Date
WisdomInNumbers,Unhappy with mobile/performance/speed,"Good morning David,
 
Thank you for your information regarding MethodCRM.
 
My Admin wanted to cancel the MethodCRM for 2 reasons:
1. We have not utilizing the CRM for over a year costing a company over $7200.00 + and 
2  MethodCRM take too long to load and none of us know how to use it effectively to communicating with our Members as we wish.
 
Please let me know the balance of our bills and we will take care appropriately.
 
I am so sorry it doesn't workout for us as we wanted to...
 
Regards,
Nghia",19.4,480.0,23.0,601.0,2012-08-27,2014-04-11
noodlesoup,Using another CRM Product,"Our company does not have a dedicated sales force so while aspects of the program were= great for documentation we ended up not using it. It could not tie into our website to measure metric tracking so we ended up using a third party  Overall it was not useful in handling, orders nor basic ERP management. It also needed to be much more user friendly for the owner of the company who is not tech savvy. ",13.7,474.0,5.0,5738.0,2021-08-20,2022-10-11
crbeautyCo1,Not using their Method Account,"Method has a great integration with QuickBooks, but it is to clunky and labor intensive for field representatives. We are a hair color distribution company, and the reps that entered salons every day found the data entry daunting. I think Method is better suited for a telemarketing sales operation ",5.7,469.0,13.0,2309.0,2020-05-20,2020-11-11
sahelgrainskumasidepot,Non-payment,,1.9,463.0,13.0,1361.0,2021-01-30,2021-03-30
bestlaminatetest,Non-payment,,1.7,463.0,39.0,44737.0,2021-01-06,2021-02-26
plasticinnovations,Not using their Method Account,"Harsh,

 

Thank you so much for the clarification and I apologize for the confusion.  At this time, we do need to cancel our subscription.  We will continue using our current system until we can figure out the issues with integration between our current order system and QuickBooks.  We do still plan to re-visit Method but want to make sure we do our due diligence before diving in head first again.

Kind Regards,

 

Brandon Sams

Vice President of Sales",3.4,459.0,3.0,13818.0,2023-01-10,2023-04-25
ergroupllc,Integration Gap,We found a CRM that directly aligns with Foundation Software.,17.8,455.0,10.0,338.0,2020-10-13,2022-04-07
regencyshutter2,Non-payment,,1.9,452.0,40.0,6111.0,2022-08-29,2022-10-26
conradcabinets,Other - please specify,Not using it enough  to justify the cost. ,6.5,452.0,16.0,62.0,2018-11-03,2019-05-21
stacmaterialhandlinginc,Tech Issue - Applications & Sync,Too Glitchy and unreliable. ,133.8,450.0,22.0,8053.0,2012-04-18,2023-06-14
redithotics,,Customers sales reps took orders using the sales order screen. Typical orders consisted of 10 or more items and the screen design was too cumbersome. He needed editable grids. ,3.8,450.0,10.0,1837.0,2017-02-14,2017-06-09
finum,Using another CRM Product,we have moved,101.0,449.0,0.0,1670.0,2016-06-07,2024-11-07
rrds,Feature Gap,"We are moving to a platform that integrates proposal management software and federal bid sourcing.

Thank you for everything!",79.8,444.0,15.0,796.0,2018-11-27,2025-07-22
mountjoyaquatics,Due to economic reasons,down sizing sales team,23.0,442.0,8.0,365.0,2022-09-07,2024-08-06
braxcompany2,Other - please specify,Not in our budget right now.,0.6,441.0,42.0,4854.0,2025-03-10,2025-03-28
sprngerpumps,Not using their Method Account,"From Rick: We love Method and it’s possibilities but we’ve never really even started to use it, and have so many other must-do items on our plate that it doesn’t make sense to continue at this point.From Paulette: This account was a disaster waiting to happen.  There are two other Consulting firms involved on the QB and IT/Web side and unfortunately all my efforts to have them focus on completing the Method w/API portion were unsuccessful.",13.4,441.0,9.0,27971.0,2021-08-10,2022-09-23
artisanhardware1,Other - please specify,Sold Company ,11.3,441.0,24.0,3022.0,2018-12-14,2019-11-22
maguirecanada,Difficult to Customize,could not customize the Work Order to match our hardcopy forms. Our contact was not responsive and unable to accomplish this customization.,14.3,441.0,8.0,1158.0,2021-09-07,2022-11-15
RPSINC,,We have switched to a whole new ERP system with NetSuite and no longer need this service.  You helped us grow out of it! Thank you!,30.9,440.0,24.0,2353.0,2012-10-19,2015-05-19
deltafas,Using another CRM Product,Moved to a new a system.,13.6,440.0,35.0,2017.0,2020-11-02,2021-12-20
goldentrends,Using another CRM Product,My Company has decided to move to another CRM that better fits our needs.,20.4,440.0,0.0,1524.0,2021-12-16,2023-08-28
oximedicalnew,Using another CRM Product,We've upgraded to NetSuite.,17.6,440.0,19.0,36392.0,2018-10-17,2020-04-06
roni,,We are looking for a system that's easier for our team to use.,25.7,440.0,22.0,16960.0,2015-03-30,2017-05-19
intecconinc,Using another CRM Product,Found another software. Please process refund for last payment processed.,69.1,439.0,6.0,13539.0,2019-02-06,2024-11-08
odhdistributing2,Non-payment,,1.4,438.0,50.0,467.0,2025-03-03,2025-04-15
nrdpharma,Non-payment,,1.4,438.0,0.0,135.0,2025-04-23,2025-06-05
greenselectricllc,Non-payment,,1.4,438.0,7.0,709.0,2025-03-31,2025-05-12
vegplusbloom,Duplicate Account,Transferred prepay from Vegplusbloom to hydroponicresearchinc. Cancelling Vegplusbloom account,23.4,434.0,22.0,3223.0,2019-06-27,2021-06-08
pacwestdistributors1,Other - please specify,Non-Payment,15.0,430.0,7.0,254.0,2017-04-06,2018-07-06
centralfloridasteelbuildings,Tech Issue - Applications & Sync,Quickbooks Integration wasn't as streamlined as hoped for. Too many hiccups there. To much customization needed to get everyone on same page...,1.9,430.0,25.0,3256.0,2022-01-17,2022-03-16
bedrockroadsllc,Using another CRM Product,This was a breakdown between us and your supplier.  We've had the subscription for 11 months and still can't use it to quote.  We are closer to customization in Buildertrend after one month.  Not contest.  We can't continue to pay for something that isn't being tailored to our needs.,11.2,428.0,0.0,471.0,2020-07-02,2021-06-09
cornwallstairs,Other - please specify,,1.0,427.0,18.0,3236.0,2022-04-04,2022-05-05
fenixgroupusainc,Non-payment,,2.3,427.0,0.0,254.0,2024-04-19,2024-06-28
priopel1993inc2,Difficult Workflows / Workflow Challenges,"Pascal asked not to renew his subscription, his team is used to working on paper but he wanted them to try Method. Pascal and I encouraged his team to adopt the software to make their work easier, but they refused to use it, they said it was not as practical as paper.",11.3,425.0,0.0,2676.0,2023-10-24,2024-10-03
greenington2,Non-payment,,1.4,425.0,13.0,267.0,2023-02-27,2023-04-11
hccigarsdaytonallc5,Other - please specify,"Churn Exception Reason: 
Duplicate Account
Other Account:
hccigarsdaytonallc2",1.2,425.0,2.0,147.0,2022-09-05,2022-10-11
mobilityplus3,Other - please specify,"Conversion Exception Reason: 
Syncd Wrong File / Test File
Other Account:
methodmobility",0.6,425.0,0.0,9413.0,2025-08-29,2025-09-15
valencecorp,Using another CRM Product,"we are moving to GoHighLevel since we are using it for other stuff, to stream line.",1.8,425.0,30.0,230.0,2024-01-11,2024-03-05
shatez,Non-payment,,1.3,425.0,0.0,0.0,2023-01-17,2023-02-26
PSDPR,Not using their Method Account,"At the moment, our employees aren't using it.",3.1,419.0,18.0,669.0,2020-02-19,2020-05-22
mojosportswearco,,Too much money for not enough use.,4.1,416.0,13.0,14527.0,2017-05-04,2017-09-06
vprbrands1,Other - please specify,"Ayushi,

Thank you for your support over the past few years.
But at this time we do not have a need for further use of your system.
If in the future we add more people into our company, we will reach back out to you and start back up.
But as of December 12th 2019 we will no longer need your services.

Thank you very much for your help and services.",30.0,416.0,32.0,29249.0,2017-06-12,2019-12-11
pharmacylite,Tech Issue - Applications & Sync,"We are changing software and no longer will use Method.  However, you should know, it never worked well at all.  it was always very unstable and we had to reconnect with QuickBooks many times per day.",43.4,416.0,93.0,3436.0,2017-09-14,2021-04-27
hathorncorporation3,Other - please specify,"
We’ve decided not to proceed with Method, but instead migrate to MS Dynamics with a temporary integrator for a number of reasons. 

 

We intend to move away from QuickBooks accounting in about a year to cloud based accounting, so moving to Method will require yet another CRM migration at that time.  It’s really not worth doing that.  Secondly, the permissions Method offers won’t allow our workforce to be adequately isolated to just their function without paying for a full membership for view only.  Finally, the MS Dynamics platform is significantly cheaper than using Method and QuickBooks together while being fully integrated with our MS365 accounts and systems.  MS Dynamics will give us the integrated platform and analytics we need as a growing business.

 

We appreciate you taking the time to show us your platform but unfortunately Method isn’t going to work for us.",0.4,414.0,5.0,43.0,2023-01-19,2023-01-31
lubricationtechnologiesinc2,Non-payment,,1.9,413.0,14.0,10936.0,2022-08-16,2022-10-13
mitchellelectronics,Tech Issue - Applications & Sync,QB Sync program usually gave us problems. I don't think it was your fault. Intuit simply never designed it to work this way and we understand.,68.9,412.0,8.0,1795.0,2017-10-12,2023-07-09
advancedhurricanetechnologyinc,"Failure to adopt, train, and engage CRM users","I cannot get my team to properly use the software. I think it can work very well, but requires a dedication that I cannot currently give to it.",2.8,412.0,45.0,685.0,2024-06-06,2024-08-29
sipcoimak,Not using their Method Account,Not being utilized,8.0,408.0,11.0,916.0,2020-01-09,2020-09-08
truecarebiomedixusa2,Non-payment,,1.6,403.0,14.0,82.0,2023-08-24,2023-10-12
jethot,,Just didn't work for managing deals.,2.9,402.0,0.0,494.0,2017-12-15,2018-03-13
leahyk,Non-payment,,19.8,400.0,13.0,1821.0,2015-10-07,2017-06-02
starsystemsinternational,,Too difficult to customize and basic package does not provide enough generally useable features.  ,9.6,400.0,3.0,338.0,2015-08-10,2016-05-27
sanitasskincare,Other - please specify,Dupe account - sanitasSkinCareCo1,62.0,400.0,8.0,5333.0,2015-06-08,2020-08-07
geiworks,Other - please specify,Need to cut costs.,45.0,400.0,1.0,35725.0,2016-02-26,2019-11-26
agilityexports,Using another CRM Product,new system,16.8,397.0,2.0,1045.0,2020-12-17,2022-05-13
Sealmasterindianapolis,Using another CRM Product,Moved to another solution Netsuite,23.8,395.0,21.0,1266.0,2018-11-09,2020-11-02
xperienceag,Other - please specify,Switching to a different provider.,60.9,392.0,10.0,534.0,2020-11-04,2025-12-03
firesafetysupply,Tech Issue - Applications & Sync,I met again with our sales team and unanimously agree Method is not a good fit. There are too many issues to overcome.-----------------Method was slowing their QB file on RN. They had to upgrade all 13 users on RN to deluxe where they were paying ~$50/user/month to RN. His sales team was not happy because when they went to QB everything was very sticky for them. I instantly created a case but they had made a decision already to not continue with Method. (Notes added to activities under the account along with email conversations),5.1,392.0,25.0,2708.0,2023-01-25,2023-06-28
acc84481,Difficult to Customize,"The system didn't work for us out of the box. We believe in the principles of the system but don't have time or the patience to start working on customization for it to do what we needed. Also, after basic functions didn't work, we lost confidence in starting to customize. ",1.5,392.0,0.0,3144.0,2020-05-17,2020-07-01
skinhealthcanadaCo1,Not using their Method Account,We decided to cancel the subscription.,13.0,392.0,18.0,11079.0,2020-06-16,2021-07-16
ironhausinc,Not using their Method Account,did not work for our company,6.4,391.0,5.0,431.0,2021-02-10,2021-08-25
tmjs,Other - please specify,"We switched to a more robust CRM, nothing that you did wrong.",4.5,390.0,23.0,1428.0,2025-07-14,2025-11-28
transnatradinggroupusallcfl,Other - please specify,"Conversion Exception Reason: 
Duplicate Account
Other Account:
transnatradinggroupsl",1.2,390.0,1.0,54.0,2022-09-07,2022-10-14
brighamlarsonpianos,Other - please specify,,1.3,390.0,261.0,12295.0,2022-08-26,2022-10-04
officemakers,Non-payment,,6.0,385.0,20.0,3637.0,2016-06-01,2016-12-01
aft2,Using another CRM Product,We have transistion to Netsuite and will no longerneed method services,10.2,383.0,15.0,420.0,2023-03-02,2024-01-08
alexochakovskycpa,Service / Support / Help Center,not user friendly! Bad customer service with charding and not even refunding for the account that supposed to be closed!,15.1,383.0,2.0,434.0,2022-06-25,2023-09-29
beyondthegrind,Sold Business / Closing Company,We have sold the company so no longer require method as the new owners are using netsuite.  Thank you for all your help.,58.9,383.0,40.0,1442.0,2019-07-15,2024-06-10
colemanandassociates,Non-payment,,40.2,381.0,14.0,5530.0,2018-02-10,2021-06-17
alumission,"Failure to adopt, train, and engage CRM users","Kenny (partner who helped with the account setup) has shared:I’m not exactly sure.  The account was customized 100% to their requirements.  They use a Callrail solution for inbound forms and phone leads and that integrates to Method through Zapier.  On Friday I called an issue to their attention when they said they weren’t receiving leads into Method. I researched and found that they had exceeded their monthly Zapier limit and that they were changing Callrail numbers too quickly and Callrail had a notice that some leads may not be tracked which could mean that they also weren’t sent into Zapier to Method.  In both cases it was the client’s responsibility to update their accounts appropriately. Their integration with Method was at 100%.  In fact, I went overboard to do video training walkthroughs and highly customized back end work to meet their needs.  However, in many cases throughout working with the client they missed scheduled meetings, needed multiple trainings on the same issues, did not communicate effectively with each other or with me, and had issues cleaning up their inventory effectively.  My understanding is that they also fired 3 key people during the ramp up. I’ve sent an email to them this morning to clarify why the decision was made to cancel the Method solution because it was working 100%. Regards,Kenny",7.2,381.0,4.0,5613.0,2022-11-21,2023-06-28
pacificlampwholesale,Service / Support / Help Center,"Does not serve our needs, support is not good.",18.5,378.0,13.0,2800.0,2023-06-01,2024-12-16
xitoutdoorsllc2,Using another CRM Product,We hired a new CRM manager who is a pro on a different platform.,6.3,371.0,0.0,922.0,2022-10-25,2023-05-05
msquarebhinc,,Moving forward with another system. ,11.9,370.0,0.0,1244.0,2016-12-16,2017-12-14
aaaelectricalofnorthcarolinallc1,Other - please specify,duplicate account. correct account is aaaelectricalofnorthcarolinallc2,1.1,369.0,12.0,1110.0,2018-05-08,2018-06-12
saltpepper,Using another CRM Product,Using new program,40.3,368.0,0.0,706.0,2018-10-10,2022-02-18
alabamapigments,Not using their Method Account,not being used,20.5,367.0,9.0,3486.0,2023-06-29,2025-03-13
framaco,Non-payment,,1.4,366.0,24.0,330.0,2024-07-11,2024-08-23
gosolarsystemsltd,Non-payment,,1.4,366.0,2.0,1946.0,2025-06-26,2025-08-08
hotsyofsoutherncalifornia,Other - please specify,Never able to sync. Wasted too much time trying to make it work.,1.1,366.0,0.0,2621.0,2021-08-18,2021-09-20
aqueoussolution,No longer using QuickBooks,"The customer has fully transitioned to Odoo and is no longer using QuickBooks. All data was successfully migrated and exported from both QuickBooks and Method.

Sean expressed his appreciation for the services we provided, but due to the growth of his business, they have shifted towards an ERP implementation, which  started on January 1, 2024 and went live in 2025.",29.0,366.0,7.0,1012.0,2022-09-29,2025-02-28
corbymechanicalservicesltd,Tech Issue - Applications & Sync,Failed to do the basic's correctly. Could not calculate tax every time and changed payment terms. Unable to send purchase orders in a manner that suppliers can accept. As HTML they ended min spam.,5.5,366.0,19.0,1022.0,2021-01-05,2021-06-21
outeriors,Not using their Method Account,,0.7,366.0,0.0,363.0,2021-12-16,2022-01-05
dehygarnish2,Non-payment,,2.0,365.0,0.0,339.0,2023-10-23,2023-12-22
onlinebuilding,Non-payment,,1.4,365.0,16.0,6730.0,2025-09-02,2025-10-14
hudsonassociates,Non-payment,,1.4,365.0,6.0,78.0,2023-10-18,2023-11-29
norcaldiamond4,Other - please specify,,0.8,365.0,7.0,1651.0,2025-01-08,2025-01-31
astgroupofcompanies,Non-payment,,1.9,365.0,22.0,7056.0,2022-10-12,2022-12-09
mindird,Non-payment,,1.4,365.0,2.0,329.0,2025-03-14,2025-04-26
fandfenterprisespteltd,Non-payment,,1.4,365.0,0.0,3.0,2025-05-18,2025-06-29
red10rv2,Feature Gap,Changed to a Document Management System. ,24.1,365.0,19.0,3586.0,2021-10-06,2023-10-09
norcaldiamondproducts3,Non-payment,,1.4,365.0,17.0,1184.0,2023-06-06,2023-07-18
newcosolarsolutions5,Other - please specify,"Thanks for following up and sorry we will not go ahead at this moment.

We are experiencing business downturn right now and Kendra got laid off unfortunately.

So we will have to postpone this project for now, I hope we will get chance to review it next year when our business picks up.",0.5,365.0,28.0,14775.0,2023-11-06,2023-11-20
habitus2,Non-payment,,1.4,365.0,10.0,4577.0,2023-02-28,2023-04-12
scidistribution,Non-payment,,1.4,365.0,0.0,39.0,2025-07-09,2025-08-21
odhdistributing,Other - please specify,Will be back,1.4,365.0,50.0,466.0,2024-12-02,2025-01-14
adapt8,Other - please specify,This is a test account which they did not use. They will create another one because they liked what they saw,0.6,365.0,3.0,147.0,2022-04-29,2022-05-17
graftonfurniture,Non-payment,,1.4,365.0,92.0,7455.0,2025-01-06,2025-02-18
InTotoManagementConsulting,Other - please specify,"Almost all our tenants pay through ACH. We have QuickBooks desktop so Method doesn't integrate with our Intuit processor. Of the options Method does integrate with: PSI Gateway doesn't have ACH capability, PayPal has ACH capability through TeleCheck but it only works through a website and not a service like Method (which PayPal only explained after they first told me to get TeleCheck), and Authorize.Net wanted to charge us $500+ a month for ACH. We can't use Method if none our our tenants can pay us. We only need the portal to accept payments and have them sync with QuickBooks.",1.8,364.0,4.0,60.0,2018-06-27,2018-08-20
PaluxyRiverHoldings,,Found a better software that fits our needs.,17.9,360.0,13.0,9679.0,2013-08-13,2015-02-10
turtletechdesign,No longer using QuickBooks,"On behalf of TurtleTech Design, Inc, dba MOVA International, I would like to cancel our business account and remove our credit card information from your files. While it has been a pleasure using your services, we have since transitioned to a new ERP with an integrated CRM system.",85.0,360.0,0.0,39695.0,2014-04-03,2021-05-03
planetwineus,Using another CRM Product,switch to another system,33.6,360.0,18.0,2309.0,2017-08-30,2020-06-19
bungalow,,We have moved on to a cloud-based ERP & CRM. Thank you!,43.1,360.0,14.0,7448.0,2014-03-03,2017-10-04
ametroy,Other - please specify,Change in acct. ownership/Not using,52.5,360.0,13.0,3508.0,2014-06-16,2018-11-01
Yebo,,"too difficult to use, not enough customer support",4.9,360.0,12.0,1447.0,2012-12-29,2013-05-28
WestprimeHealthcare,,too slow to sync. not working with us.,19.9,360.0,15.0,1956.0,2012-07-12,2014-03-10
easternjunglegym,Other - please specify,"We have changed accounting software
Thank You",44.0,360.0,30.0,35789.0,2015-06-29,2019-02-27
tacticalfitnessgsa,Using another CRM Product,"The field mapping and transfer from ACT was not successful.  I believe Method tried to ‘understand’ the import based on already existing records in our QB program, which often do not match our CRM records, and this created a dysfunctional blend of inaccurate data in the Method fields.

In my mind, complete synchronicity between our CRM and accounting software would in theory be the way forward, but in practice I believe it entails hundreds of hours of clean-up work (and more costly field mapping for the data transfer) to successfully match and merge.  

Please note:  Harsh was an amazing Method representative, he answered all our questions and helped us better understand Method.  We now know we have much to clean up before linking QB and our CRM.",1.9,355.0,8.0,6997.0,2025-01-07,2025-03-06
beavercreekfirewoodllc,"Failure to adopt, train, and engage CRM users",Don't use enough to justify cost.,2.2,354.0,0.0,135.0,2024-01-31,2024-04-08
bynature,Difficult Workflows / Workflow Challenges,We went another route for our leads management,4.0,353.0,46.0,3804.0,2023-07-28,2023-11-28
Major,No longer using QuickBooks,went with SAP,38.1,352.0,8.0,957.0,2012-12-30,2016-03-03
coloradoproductservices,Using another CRM Product,Went with another CRM,41.0,352.0,98.0,848.0,2017-05-15,2020-10-13
MarulaOil,Non-payment,,16.0,352.0,5.0,2162.0,2014-03-10,2015-07-09
smartin,Other - please specify,"Could not do customer quotes in the field as we use Quick Books groups and it would not pull prices.  Also had issues with mobile app.  
In addition to this my team is small and we did not find any benefit to using it in our organization ",11.1,346.0,37.0,4623.0,2018-06-29,2019-06-03
firstoutrescue,Non-payment,,1.9,345.0,13.0,1282.0,2021-03-03,2021-04-30
PIFL2018,Other - please specify,Sales ppl not happy,4.1,343.0,17.0,834.0,2018-06-25,2018-10-29
heartrateinc3,Using another CRM Product,"We went with Sales Force. Method was fun but, we shifted into deeper CRM and Sales Force hit that mark.",20.0,343.0,42.0,21874.0,2022-02-24,2023-10-26
cougargroup3,Non-payment,,1.8,343.0,16.0,444.0,2024-03-21,2024-05-16
gatesel,Difficult to Customize,"Method does not fit the way we run our business.
After numerous attempts and much $ spent, we can not make the system work for us.
",20.2,342.0,7.0,469.0,2019-11-22,2021-07-30
