Account,SKU_Count,Avg_Delimiter_Count,Avg_Char_Length,Avg_Word_Count,Pct_With_SKU_Codes,Pct_With_Specs,Pct_With_Brand_Prefix,Pct_Service_Items,Pct_Inventory_Items,Pct_NonInventory_Items,Pct_Fee_Items,Primary_Business_Type,Catalog_Complexity_Score,Complexity_Tier,Sample_Products,SKU_Tier
evitabletransportationagencyllc2,2,0.0,6.5,1.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,Service-Based,0.2,Ultra-Simple,"Trucking, Sales",1-5 (Ultra-Simple)
miltonwbosleyandco,18,0.44,34.6,4.2,83.3,27.8,44.4,16.7,22.2,61.1,5.6,NonInventory-Based (Digital/Services),26.3,Simple,"Mouldings:40000-10 SALES - MOULDING, Freight:400000-60 FREIGHT - SHIPPING, Mouldings:40000-90 SALES FINISHED-RO",6-20 (Simple)
unitedglobaltradingcorp9,33,0.97,38.8,5.4,24.2,3.0,90.9,18.2,0.0,81.8,3.0,NonInventory-Based (Digital/Services),26.7,Simple,"Marketing:CMO Marketing Services, Nitrile Gloves:Sample - INTCO Synguard 100 - XL, Nitrile Gloves:Sample - INTCO Synguard 100 - L",21-50 (Standard)
csw2,50,1.04,34.0,4.7,18.0,2.0,80.0,2.0,86.0,12.0,2.0,Inventory-Based (Physical Products),25.8,Simple,"Polymeric Sand:Polymeric SRW - Gray, Delivery:Delivery Fee, Crushed Stone:3/4"" Graded Base (Yard)",21-50 (Standard)
ampedsoftwareusa,45,0.84,39.3,5.0,0.0,8.9,0.0,20.0,0.0,80.0,0.0,NonInventory-Based (Digital/Services),10.1,Ultra-Simple,"4 SMS:Amped FIVE SMS (GOV), 7 Training:Amped FIVE Training, 3 License:Amped FIVE (Perpetual - GOV)",21-50 (Standard)
bisonoutdoorproducts2,5,0.8,23.6,3.0,20.0,0.0,0.0,20.0,0.0,80.0,20.0,NonInventory-Based (Digital/Services),8.7,Ultra-Simple,"Cash Adjustment Fee, Bromic - NS:BR-PE-4500-Wht, Bromic - NS:BR-PE-4500-RK",1-5 (Ultra-Simple)
chipmunkhillwoodworking,19,0.37,8.4,1.8,0.0,15.8,0.0,36.8,57.9,5.3,0.0,Hybrid (Mixed),5.6,Ultra-Simple,"Panels, Cut To Size, 3/8 MDF",6-20 (Simple)
protronixcontrols3,50,0.04,17.0,1.3,90.0,0.0,0.0,0.0,92.0,0.0,6.0,Inventory-Based (Physical Products),17.8,Ultra-Simple,"Tariff, Shipping & Handling, Tariff-Rolled Cost",21-50 (Standard)
cardinalcomms3,50,0.96,36.1,4.4,62.0,2.0,90.0,10.0,76.0,14.0,0.0,Inventory-Based (Physical Products),33.4,Simple,"Theatro:Theatro Ear Hook, Theatro:Cardinal Communications Ear Hook Large, Earpieces:DIRECT CONNECT EARHOOK EARPIECE",21-50 (Standard)
anylabtestnow3,13,0.08,29.5,4.5,53.8,0.0,0.0,0.0,0.0,100.0,7.7,NonInventory-Based (Digital/Services),9.6,Ultra-Simple,"USA001 Background Screen, Non DOT Urine Drug Collection ONLY, Blood Collection",6-20 (Simple)
earthworksnaturalorganics,50,2.46,39.5,3.2,92.0,0.0,84.0,100.0,0.0,0.0,0.0,Service-Based,46.8,Standard,"STD TEST, FREIGHT, STD PASTE EXTRACT",21-50 (Standard)
masterchefpr2,50,0.98,25.1,1.4,100.0,48.0,74.0,0.0,98.0,0.0,0.0,Inventory-Based (Physical Products),41.4,Standard,"DESCUENTO, EQUIPO DE GAS:18MCDCF3-LPG, CENTURION:17CENFW-8-12",21-50 (Standard)
oakridgefoamandcoatingsystemsinc,50,0.22,18.1,3.1,50.0,0.0,22.0,6.0,84.0,2.0,2.0,Inventory-Based (Physical Products),16.3,Ultra-Simple,"Shipping, NCFI, Foam, Part A, Fin Chg",21-50 (Standard)
waccessoriesnyc,50,0.98,17.1,1.7,98.0,0.0,92.0,0.0,98.0,2.0,0.0,Inventory-Based (Physical Products),39.0,Simple,"HAT BEANIE:WNDH5754B, FANNY PACK:WNF22287, BAG CB:WNF20855",21-50 (Standard)
gonzalezcarpetsuppliesllc,50,0.12,10.5,2.5,2.0,8.0,0.0,2.0,98.0,0.0,0.0,Inventory-Based (Physical Products),5.9,Ultra-Simple,"1/2"" BLACKJACK 30 YDS, 3/8"" WH 6lb 30 YDS, Sierra 111",21-50 (Standard)
chicagofirefurniture2,44,0.32,22.8,2.9,0.0,2.3,0.0,95.5,0.0,4.5,2.3,Service-Based,5.9,Ultra-Simple,"Custom Builds Off-Site:Custom Builds Off-Site, Services (Pre 2021 Income), Home Repairs & Redesigns",21-50 (Standard)
pittmanoilcompany,50,0.22,11.7,1.3,66.0,0.0,22.0,54.0,38.0,8.0,2.0,Service-Based,18.7,Ultra-Simple,"XFS1, XFS2, Bulk:C2SB530B",21-50 (Standard)
brivester,7,0.14,10.9,2.0,42.9,0.0,0.0,14.3,85.7,0.0,0.0,Inventory-Based (Physical Products),7.9,Ultra-Simple,"STE 18-B, STE 18-D, STE-38B",6-20 (Simple)
magicbreezekombucha,50,0.58,30.5,4.1,4.0,50.0,56.0,22.0,42.0,14.0,8.0,Hybrid (Mixed),21.9,Simple,"ABCRC:Recycling fee, Kombucha Wholesale:Red Dragon 355 ml, Kombucha Wholesale:Sunrise 355 ml",21-50 (Standard)
indigenousimaginationworkshop,2,0.5,12.5,1.0,0.0,0.0,50.0,50.0,0.0,50.0,0.0,Hybrid (Mixed),11.0,Ultra-Simple,"Services, Printing:Printing",1-5 (Ultra-Simple)
terraboundsolutions,50,0.58,28.6,4.0,0.0,0.0,26.0,4.0,0.0,94.0,0.0,NonInventory-Based (Digital/Services),11.8,Ultra-Simple,"Shipping1:Freight Shipping, Shipping1:No Brand Ground Shipping, Kay Park Recreation Corp",21-50 (Standard)
deltalogisticsinc,26,0.15,20.3,3.2,7.7,0.0,0.0,84.6,11.5,3.8,3.8,Service-Based,4.3,Ultra-Simple,"Commercial Supplies Revenue, Miscellaneous Revenue, Storage - Renewal",21-50 (Standard)
ibidmachinery,50,0.28,48.3,8.3,8.0,22.0,0.0,68.0,0.0,32.0,0.0,Service-Based,9.3,Ultra-Simple,"Shipping LTL Freight, Insurance, Brokerage and Packaging (Lower 48 States), Roll of VAC2MG, 2"" (50mm) wide 1025y (937m) long Roll V Groove Tape, 2 Day Installation and Training Program on Site",21-50 (Standard)
ptharargeneraltrading,1,0.0,7.0,1.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,Service-Based,0.1,Ultra-Simple,Service,1-5 (Ultra-Simple)
hifresh,2,1.0,25.0,4.0,0.0,0.0,50.0,100.0,0.0,0.0,0.0,Service-Based,14.3,Ultra-Simple,"Ship02: Auckland - FPT, 001: Greenland Cooked Shrimp",1-5 (Ultra-Simple)
mngfoods,50,1.18,39.5,6.4,56.0,8.0,48.0,100.0,0.0,0.0,0.0,Service-Based,28.3,Simple,"1010: Halls Delivery, HFFRZ2201: Freezer Room Storage Fees, HFCHI2201: Chiller Room Storage FeeS",21-50 (Standard)
expresscrossdockingllc,50,0.38,31.5,3.8,0.0,0.0,38.0,100.0,0.0,0.0,12.0,Service-Based,12.2,Ultra-Simple,"Standard pallets, Full trailer, Late fee",21-50 (Standard)
acapp,50,0.02,8.4,1.4,2.0,0.0,0.0,40.0,0.0,60.0,10.0,NonInventory-Based (Digital/Services),4.4,Ultra-Simple,"Shirts, Shipping, Screens",21-50 (Standard)
tweezerdistributors,26,1.0,25.6,3.6,0.0,57.7,100.0,0.0,100.0,0.0,0.0,Inventory-Based (Physical Products),29.5,Simple,"Main shop:IMP 12g, Main shop:IMP 2.5 Kg, Main shop:WMP 25Kg",21-50 (Standard)
zephyrbhs,1,0.0,5.0,1.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,Service-Based,0.1,Ultra-Simple,Hours,1-5 (Ultra-Simple)
corbymechanicalservices,50,1.92,42.0,5.3,100.0,32.0,100.0,12.0,64.0,24.0,2.0,Product-Based (Mixed Inventory),50.0,Standard,"PARTS OR SERVICES:SUNDRIES, PARTS OR SERVICES:BELTING, OTHER:Income",21-50 (Standard)
synova,50,0.0,6.4,1.0,94.0,0.0,0.0,0.0,84.0,6.0,2.0,Inventory-Based (Physical Products),18.1,Ultra-Simple,"Tariff, 29503, E10PP-W1510",21-50 (Standard)
frispycrispy,16,0.88,24.4,3.5,18.8,12.5,87.5,12.5,6.2,81.2,0.0,NonInventory-Based (Digital/Services),24.3,Simple,"Lunch:Corporate Labor Lunch, Lunch:Chicken Pulao, Tandoor:Plain Roti",6-20 (Simple)
maritimegoodfood,50,1.18,58.8,7.9,78.0,34.0,50.0,0.0,96.0,4.0,0.0,Inventory-Based (Physical Products),34.5,Simple,"Bottle Deposits:NS Bottle Deposit $0.10, Bev - Energy:WORK WATER Blue Raspberry 12x473ml, Bev - Energy:WORK WATER Coconut Original 12x473ml",21-50 (Standard)
manexusa5,50,0.22,12.1,1.8,32.0,0.0,0.0,44.0,40.0,12.0,2.0,Hybrid (Mixed),10.3,Ultra-Simple,"Freight, Parts, Shipping",21-50 (Standard)
preferpack,50,0.0,8.3,1.2,74.0,2.0,0.0,4.0,4.0,92.0,0.0,NonInventory-Based (Digital/Services),15.3,Ultra-Simple,"SHIP, STOCKBOXES (deleted), STOCKITEMS (deleted)",21-50 (Standard)
jandgculvertsinc,50,0.06,17.2,4.7,0.0,0.0,6.0,6.0,92.0,2.0,2.0,Inventory-Based (Physical Products),5.3,Ultra-Simple,"Delivery Charge, CSS:CS Scrap, 12"" X 20' HDPE DW",21-50 (Standard)
bmdistributorsllc,50,1.16,37.8,4.2,0.0,52.0,54.0,2.0,98.0,0.0,0.0,Inventory-Based (Physical Products),25.0,Simple,"Non-Alcoholic:Everfresh Island Punch 16oz 12pk, Non-Alcoholic:Everfresh Tropical Fruit Punch 16oz 12pk, Non-Alcoholic:Everfresh Peach Watermelon 16oz 12pk",21-50 (Standard)
marlinzpharma2,50,0.04,9.7,1.4,72.0,0.0,0.0,0.0,64.0,6.0,2.0,Product-Based (Mixed Inventory),15.1,Ultra-Simple,"Shipping, 100-75, 800-10",21-50 (Standard)
theappliancebarnfl,7,0.14,28.3,4.7,14.3,14.3,14.3,28.6,42.9,28.6,0.0,Hybrid (Mixed),7.2,Ultra-Simple,"Delivery:Delivery, Delivery [HCP temp name created at 2025-11-30 22-11-50 UTC], Maytag Set",6-20 (Simple)
dragonpowerpromo,50,0.26,12.5,2.1,2.0,2.0,26.0,62.0,0.0,38.0,2.0,Service-Based,10.1,Ultra-Simple,"Imprint:Imprint, Memory Size, Shipping:Shipping",21-50 (Standard)
agoradistributioninc,50,0.74,31.1,3.1,88.0,6.0,54.0,32.0,0.0,68.0,0.0,NonInventory-Based (Digital/Services),30.8,Simple,"AFFICHAGE:AFFICHAGE ET NUMÉRIQUE, INFOGRAPHIE:FRAIS D'INFOGRAPHIE, VÊTEMENTS",21-50 (Standard)
bluewatercas2,50,1.0,36.5,5.1,12.0,2.0,0.0,12.0,88.0,0.0,0.0,Inventory-Based (Physical Products),12.7,Ultra-Simple,"1000 Chemicals:AccuTab Blue SI - 60#, Delivery Fee, Sales",21-50 (Standard)
cotektheamericas,50,0.7,17.2,1.8,76.0,0.0,0.0,4.0,76.0,20.0,0.0,Inventory-Based (Physical Products),20.1,Simple,"354, 352, 9901",21-50 (Standard)
test212,5,0.0,18.4,3.8,0.0,0.0,0.0,0.0,100.0,0.0,0.0,Inventory-Based (Physical Products),0.4,Ultra-Simple,"Cloud 9 Blue 15ct, Backwoods 5pk Tical 8ct, Sweet Woods 2pk Vanilla",1-5 (Ultra-Simple)
cravenscoffee,50,1.88,35.0,3.6,0.0,8.0,100.0,0.0,0.0,66.0,0.0,NonInventory-Based (Digital/Services),32.3,Simple,"Coffee:Decaf:Dexter's Decaf, Coffee:Organic:Org Earth & Sky, Coffee:Signature:Moon Bean Blend",21-50 (Standard)
octopusgdn,50,1.54,38.7,4.7,94.0,14.0,96.0,0.0,100.0,0.0,0.0,Inventory-Based (Physical Products),44.2,Standard,"MUSSELS:MUSSELS (MED) Half Shell, TILAPIA:TILAPIA FILLET 2-3 oz IQF (deleted), FRESHWATER:6/8 Freshwater Oceanic",21-50 (Standard)
joeythecoffeeguy,30,1.43,49.2,6.6,43.3,33.3,80.0,20.0,3.3,76.7,0.0,NonInventory-Based (Digital/Services),33.8,Simple,"Fees:Traveling fees, Coffee and espresso equipment services:Repairs:Coffee equipment repairs, Coffee equipment service",21-50 (Standard)
aeromarinebiotechllc,23,0.0,13.3,2.1,4.3,0.0,0.0,26.1,0.0,73.9,4.3,NonInventory-Based (Digital/Services),2.5,Ultra-Simple,"Sales, Machine Hours, Valve",21-50 (Standard)
ssisanitary,50,0.6,23.9,2.1,94.0,76.0,26.0,8.0,0.0,92.0,0.0,NonInventory-Based (Digital/Services),33.6,Simple,"Sales, 42MPSFY-.50, 40MPSFY-2",21-50 (Standard)
trikketechinc,50,1.02,42.1,6.4,20.0,6.0,80.0,10.0,80.0,10.0,4.0,Inventory-Based (Physical Products),26.4,Simple,"Parts:Miscellaneous Parts, Parts:Inner Tube 9.5 x 2.5"" -  REAR, Warranty Returns",21-50 (Standard)
dukesmetal,50,0.9,24.1,3.3,0.0,12.0,90.0,10.0,90.0,0.0,4.0,Inventory-Based (Physical Products),24.7,Simple,"Welded Sheet:Plain Steel #9, Expanded Metal:Plain Steel #7, Welded Sheet:Plain Steel #1",21-50 (Standard)
novalighting,50,0.06,9.1,1.1,92.0,4.0,0.0,6.0,92.0,0.0,0.0,Inventory-Based (Physical Products),18.6,Ultra-Simple,"773273, LLD-13-3K-WH, 774244",21-50 (Standard)
allmakeappliances,50,0.0,9.9,1.1,96.0,8.0,0.0,4.0,6.0,90.0,0.0,NonInventory-Based (Digital/Services),19.2,Ultra-Simple,"INSTALL AND REMOVE, INSTALL AND REMOVAL, AMV2307PFS",21-50 (Standard)
honestwaterfilter,49,0.14,17.8,3.0,16.3,0.0,0.0,4.1,93.9,2.0,0.0,Inventory-Based (Physical Products),7.3,Ultra-Simple,"Shipping & Handling, Silver P System w/Pre-Filter, Defender",21-50 (Standard)
advancedmarinefabricationllc2,36,1.03,32.2,4.4,8.3,0.0,77.8,91.7,0.0,8.3,5.6,Service-Based,22.6,Simple,"Pipe Welding:Pipe Welding, Skimmers:Angle Face Mount, Skimmers:Side Mount Skimmer - Style B",21-50 (Standard)
wcsoilworks,8,0.12,8.5,1.2,0.0,0.0,0.0,37.5,0.0,12.5,12.5,Hybrid (Mixed),1.5,Ultra-Simple,"Material, Freight/Shipping, B&L",6-20 (Simple)
hyfloequipmentcompany3,50,0.12,12.1,1.6,68.0,4.0,0.0,16.0,54.0,8.0,0.0,Product-Based (Mixed Inventory),15.4,Ultra-Simple,"Discount, Labor - KS/AR, Labor - MO/OK",21-50 (Standard)
lubelska,50,1.12,23.9,2.9,22.0,4.0,100.0,4.0,94.0,2.0,0.0,Inventory-Based (Physical Products),30.2,Simple,"Z Stock Item:Delivery, Sealers & Cleaners:R01/1, Sealers & Cleaners:R01/5",21-50 (Standard)
metspeedlabel,50,0.02,8.7,1.4,4.0,0.0,0.0,90.0,8.0,0.0,4.0,Service-Based,4.7,Ultra-Simple,"Labels, Shipping, Ribbons",21-50 (Standard)
fetterenterprisesincdbadebrovys,3,0.0,9.0,1.0,66.7,0.0,0.0,33.3,0.0,66.7,0.0,NonInventory-Based (Digital/Services),10.2,Ultra-Simple,"Sales, VMISC, 10-CTF-12-01-2020",1-5 (Ultra-Simple)
aragososouthllc,50,2.9,31.4,1.3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,Product-Based (Mixed Inventory),38.3,Simple,"5-BEER:Brazil:Itaipava:5010203, 5-BEER:Brazil:Itaipava:5010201, 5-BEER:Brazil:Itaipava:5010204",21-50 (Standard)
battlerattle,16,0.0,17.5,2.0,0.0,31.2,0.0,0.0,37.5,62.5,0.0,NonInventory-Based (Digital/Services),4.4,Ultra-Simple,"BTL_SPR_WHSK_SBR_80_750ml, BTL_SPR_RUM_WNF_80_750ml, BTL_SPR_GIN_80_750ml",6-20 (Simple)
risecannabis,26,0.0,16.2,2.6,3.8,0.0,0.0,7.7,0.0,92.3,0.0,NonInventory-Based (Digital/Services),2.7,Ultra-Simple,"Key Lime Pie (3.5G), Grape Mintz (3.5G), Crunch Berries (3.5G)",21-50 (Standard)
revivalhome,9,1.0,27.3,2.7,0.0,0.0,77.8,88.9,0.0,11.1,0.0,Service-Based,19.1,Ultra-Simple,"Storage, Custom Amount (deleted), MicroSeal:Sofa",6-20 (Simple)
terrastonellc2,3,0.0,13.0,1.7,0.0,0.0,0.0,33.3,0.0,66.7,0.0,NonInventory-Based (Digital/Services),0.2,Ultra-Simple,"Services, Dimensional Stone, Freight Charge",1-5 (Ultra-Simple)
sigscompany,11,1.0,52.6,7.5,18.2,36.4,90.9,18.2,72.7,9.1,0.0,Inventory-Based (Physical Products),27.5,Simple,"Growing Supplies:68"" x 3000' Black/Silver Plastic Mulch, 1.5mil, Harvesting Supplies:Black Harvest Tote 24 x 16 x 8, Sales Commission:Commission",6-20 (Simple)
ipibybison,50,0.3,14.5,1.9,72.0,8.0,28.0,10.0,22.0,68.0,6.0,NonInventory-Based (Digital/Services),21.8,Simple,"BASKETBALL SYSTEMS:BA42XL, BASKETBALL SYSTEMS:BA35S, SUB BB",21-50 (Standard)
americansafetyandfirehouse,50,0.98,27.6,3.7,64.0,64.0,24.0,32.0,54.0,14.0,0.0,Hybrid (Mixed),30.1,Simple,"Services, Sales, SCBA Service:Flow Test/Bench Test 10+",21-50 (Standard)
missionlaundryequipment3,50,1.2,44.2,5.6,48.0,0.0,72.0,24.0,68.0,8.0,4.0,Hybrid (Mixed),30.0,Simple,"Laundry Equipment Rentals:Coin-op washer/dryer lease, Trip Charge:Paid Service Repair, Labor:Labor",21-50 (Standard)
cassinala2,12,0.25,30.1,4.1,0.0,0.0,25.0,8.3,0.0,91.7,16.7,NonInventory-Based (Digital/Services),6.4,Ultra-Simple,"Furniture:Cassina - Furniture, Freight:Handling from Italy, Credit card 3% processing fee",6-20 (Simple)
jdcsupply,50,0.0,13.5,1.2,60.0,0.0,0.0,2.0,30.0,66.0,2.0,NonInventory-Based (Digital/Services),13.0,Ultra-Simple,"Tariff Surcharge, Shipping, Freight",21-50 (Standard)
evenmix,50,0.84,20.8,2.2,46.0,0.0,0.0,6.0,28.0,8.0,4.0,Product-Based (Mixed Inventory),16.5,Ultra-Simple,"Break, EM Labor, EM-Sale:D-6-32-0-16-04-2-2",21-50 (Standard)
brazukacorp,50,2.94,41.4,1.4,98.0,0.0,0.0,2.0,0.0,0.0,0.0,Product-Based (Mixed Inventory),38.3,Simple,"6-Distilled:02-Brazil:207-Corote:6020261, 6-Distilled:02-Brazil:205-Cabare:6020501, 6-Distilled:02-Brazil:205-Cabare:6020503",21-50 (Standard)
peakperformancecampers,50,0.48,23.0,3.1,66.0,8.0,36.0,0.0,100.0,0.0,2.0,Inventory-Based (Physical Products),23.3,Simple,"Aluminum:256010, Aluminum:256008, Aluminum:256007",21-50 (Standard)
airtecusa,50,1.06,25.8,1.8,100.0,0.0,70.0,2.0,58.0,2.0,6.0,Product-Based (Mixed Inventory),36.6,Simple,"IEEPA-RECIPROCAL TARIFF, SHIPPING, SUBTOTAL",21-50 (Standard)
bcfluidpowerofflorence2,50,0.2,15.6,1.4,72.0,4.0,0.0,2.0,92.0,0.0,4.0,Inventory-Based (Physical Products),16.5,Ultra-Simple,"Shipping, SPAL-5032-PP-DPAL-AS-U-W10, SPAD-5042/42-PP-DPAD-AS-U-W10",21-50 (Standard)
donamireyainc,50,0.0,13.3,1.5,70.0,0.0,0.0,12.0,82.0,6.0,0.0,Inventory-Based (Physical Products),14.5,Ultra-Simple,"Sales - Coffee (deleted), Sales - Non-Coffee (deleted), Whole Bean Coffee (deleted)",21-50 (Standard)
araocigars,38,1.84,35.4,5.6,0.0,0.0,94.7,2.6,92.1,5.3,0.0,Inventory-Based (Physical Products),29.5,Simple,"Cigar:Box:Cebu Toro 6 x 52 Box, Cigar:Box:Yugo Toro 6 x 52 Box, Cigar:Box:Narigon Toro 6 x 52 Box",21-50 (Standard)
bestquiltsewknitproductsltd,50,1.78,50.6,8.2,6.0,32.0,92.0,0.0,0.0,100.0,0.0,NonInventory-Based (Digital/Services),33.8,Simple,"FG:SK:EP Easy Precision Piecing Starter Kit - Case, FG:EP:EP Easy Precision Fabric Treatment Combi Pack with Mist Bottle- Case, FG:EP:EP Easy Press Fabric Treatment 16 oz - Case",21-50 (Standard)
industrimax2,50,0.44,15.8,2.6,14.0,24.0,38.0,6.0,6.0,88.0,8.0,NonInventory-Based (Digital/Services),17.1,Ultra-Simple,"Pallet/Packing, PPF, Description",21-50 (Standard)
formersinternational5,50,0.86,19.7,2.2,50.0,0.0,80.0,2.0,0.0,88.0,6.0,NonInventory-Based (Digital/Services),29.2,Simple,"Freight Charges, FORMER:ISHIDA INSPIRA, FORMER:ISHIDA ATLAS",21-50 (Standard)
deansbeansorganiccoffee4,50,0.0,5.3,1.0,48.0,18.0,0.0,0.0,0.0,98.0,0.0,NonInventory-Based (Digital/Services),13.0,Ultra-Simple,"Shipping & Handling, 5PFRD, 5RING",21-50 (Standard)
concealite,50,0.76,16.3,1.1,70.0,0.0,54.0,4.0,2.0,94.0,2.0,NonInventory-Based (Digital/Services),27.7,Simple,"customer deposit, F5000:F5-8-90-SD, F5000:F5-8-90",21-50 (Standard)
trueworldfoodsseattlellc,50,1.74,44.3,6.4,100.0,40.0,98.0,0.0,96.0,4.0,0.0,Inventory-Based (Physical Products),49.3,Standard,"VE  VEGETABLE:OBA (PERILLA LEAVES), VE  VEGETABLE:KAIWARE, FW  FRESH ITEMS:AMBERJACK KANPACHI KONA FMD",21-50 (Standard)
coffeeman,48,0.81,27.0,3.6,12.5,29.2,68.8,35.4,0.0,64.6,0.0,NonInventory-Based (Digital/Services),24.4,Simple,"Cold Brew Keg, Services, 12oz Whole Bean Coffee Bag",21-50 (Standard)
armacorpinc,50,0.0,11.8,1.3,70.0,4.0,0.0,20.0,80.0,0.0,0.0,Inventory-Based (Physical Products),14.9,Ultra-Simple,"Freight Customer, COO, Certification (Vendor)",21-50 (Standard)
