Account Name,Cancellation Reason,Cancellation Reason Other,Tenure_Months,Last Invoice $,Reason_Clean,Category
sprngerpumps,Not using their Method Account,"From Rick: We love Method and it’s possibilities but we’ve never really even started to use it, and have so many other must-do items on our plate that it doesn’t make sense to continue at this point.From Paulette: This account was a disaster waiting to happen.  There are two other Consulting firms involved on the QB and IT/Web side and unfortunately all my efforts to have them focus on completing the Method w/API portion were unsuccessful.",13.4,441.0,"From Rick: We love Method and it’s possibilities but we’ve never really even started to use it, and have so many other must-do items on our plate that it doesn’t make sense to continue at this point.From Paulette: This account was a disaster waiting to happen.  There are two other Consulting firms involved on the QB and IT/Web side and unfortunately all my efforts to have them focus on completing the Method w/API portion were unsuccessful.",Integration Issues
RPSINC,,We have switched to a whole new ERP system with NetSuite and no longer need this service.  You helped us grow out of it! Thank you!,30.9,440.0,We have switched to a whole new ERP system with NetSuite and no longer need this service.  You helped us grow out of it! Thank you!,Competitor Loss
goldentrends,Using another CRM Product,My Company has decided to move to another CRM that better fits our needs.,20.4,440.0,My Company has decided to move to another CRM that better fits our needs.,Competitor Loss
roni,,We are looking for a system that's easier for our team to use.,25.7,440.0,We are looking for a system that's easier for our team to use.,Uncategorized
intecconinc,Using another CRM Product,Found another software. Please process refund for last payment processed.,69.1,439.0,Found another software. Please process refund for last payment processed.,Uncategorized
vegplusbloom,Duplicate Account,Transferred prepay from Vegplusbloom to hydroponicresearchinc. Cancelling Vegplusbloom account,23.4,434.0,Transferred prepay from Vegplusbloom to hydroponicresearchinc. Cancelling Vegplusbloom account,Uncategorized
centralfloridasteelbuildings,Tech Issue - Applications & Sync,Quickbooks Integration wasn't as streamlined as hoped for. Too many hiccups there. To much customization needed to get everyone on same page...,1.9,430.0,Quickbooks Integration wasn't as streamlined as hoped for. Too many hiccups there. To much customization needed to get everyone on same page...,Poor Customization
bedrockroadsllc,Using another CRM Product,This was a breakdown between us and your supplier.  We've had the subscription for 11 months and still can't use it to quote.  We are closer to customization in Buildertrend after one month.  Not contest.  We can't continue to pay for something that isn't being tailored to our needs.,11.2,428.0,This was a breakdown between us and your supplier.  We've had the subscription for 11 months and still can't use it to quote.  We are closer to customization in Buildertrend after one month.  Not contest.  We can't continue to pay for something that isn't being tailored to our needs.,Poor Customization
priopel1993inc2,Difficult Workflows / Workflow Challenges,"Pascal asked not to renew his subscription, his team is used to working on paper but he wanted them to try Method. Pascal and I encouraged his team to adopt the software to make their work easier, but they refused to use it, they said it was not as practical as paper.",11.3,425.0,"Pascal asked not to renew his subscription, his team is used to working on paper but he wanted them to try Method. Pascal and I encouraged his team to adopt the software to make their work easier, but they refused to use it, they said it was not as practical as paper.",Uncategorized
valencecorp,Using another CRM Product,"we are moving to GoHighLevel since we are using it for other stuff, to stream line.",1.8,425.0,"we are moving to GoHighLevel since we are using it for other stuff, to stream line.",Uncategorized
PSDPR,Not using their Method Account,"At the moment, our employees aren't using it.",3.1,419.0,"At the moment, our employees aren't using it.",Uncategorized
pharmacylite,Tech Issue - Applications & Sync,"We are changing software and no longer will use Method.  However, you should know, it never worked well at all.  it was always very unstable and we had to reconnect with QuickBooks many times per day.",43.4,416.0,"We are changing software and no longer will use Method.  However, you should know, it never worked well at all.  it was always very unstable and we had to reconnect with QuickBooks many times per day.",Integration Issues
mojosportswearco,,Too much money for not enough use.,4.1,416.0,Too much money for not enough use.,Feature Gaps
vprbrands1,Other - please specify,"Ayushi,

Thank you for your support over the past few years.
But at this time we do not have a need for further use of your system.
If in the future we add more people into our company, we will reach back out to you and start back up.
But as of December 12th 2019 we will no longer need your services.

Thank you very much for your help and services.",30.0,416.0,"Ayushi,

Thank you for your support over the past few years.
But at this time we do not have a need for further use of your system.
If in the future we add more people into our company, we will reach back out to you and start back up.
But as of December 12th 2019 we will no longer need your services.

Thank you very much for your help and services.",Uncategorized
hathorncorporation3,Other - please specify,"
We’ve decided not to proceed with Method, but instead migrate to MS Dynamics with a temporary integrator for a number of reasons. 

 

We intend to move away from QuickBooks accounting in about a year to cloud based accounting, so moving to Method will require yet another CRM migration at that time.  It’s really not worth doing that.  Secondly, the permissions Method offers won’t allow our workforce to be adequately isolated to just their function without paying for a full membership for view only.  Finally, the MS Dynamics platform is significantly cheaper than using Method and QuickBooks together while being fully integrated with our MS365 accounts and systems.  MS Dynamics will give us the integrated platform and analytics we need as a growing business.

 

We appreciate you taking the time to show us your platform but unfortunately Method isn’t going to work for us.",0.4,414.0,"We’ve decided not to proceed with Method, but instead migrate to MS Dynamics with a temporary integrator for a number of reasons. 

 

We intend to move away from QuickBooks accounting in about a year to cloud based accounting, so moving to Method will require yet another CRM migration at that time.  It’s really not worth doing that.  Secondly, the permissions Method offers won’t allow our workforce to be adequately isolated to just their function without paying for a full membership for view only.  Finally, the MS Dynamics platform is significantly cheaper than using Method and QuickBooks together while being fully integrated with our MS365 accounts and systems.  MS Dynamics will give us the integrated platform and analytics we need as a growing business.

 

We appreciate you taking the time to show us your platform but unfortunately Method isn’t going to work for us.",Competitor Loss
advancedhurricanetechnologyinc,"Failure to adopt, train, and engage CRM users","I cannot get my team to properly use the software. I think it can work very well, but requires a dedication that I cannot currently give to it.",2.8,412.0,"I cannot get my team to properly use the software. I think it can work very well, but requires a dedication that I cannot currently give to it.",UX/UI Issues
mitchellelectronics,Tech Issue - Applications & Sync,QB Sync program usually gave us problems. I don't think it was your fault. Intuit simply never designed it to work this way and we understand.,68.9,412.0,QB Sync program usually gave us problems. I don't think it was your fault. Intuit simply never designed it to work this way and we understand.,Integration Issues
jethot,,Just didn't work for managing deals.,2.9,402.0,Just didn't work for managing deals.,Uncategorized
sanitasskincare,Other - please specify,Dupe account - sanitasSkinCareCo1,62.0,400.0,Dupe account - sanitasSkinCareCo1,Uncategorized
starsystemsinternational,,Too difficult to customize and basic package does not provide enough generally useable features.  ,9.6,400.0,Too difficult to customize and basic package does not provide enough generally useable features.,Feature Gaps
Sealmasterindianapolis,Using another CRM Product,Moved to another solution Netsuite,23.8,395.0,Moved to another solution Netsuite,Competitor Loss
firesafetysupply,Tech Issue - Applications & Sync,I met again with our sales team and unanimously agree Method is not a good fit. There are too many issues to overcome.-----------------Method was slowing their QB file on RN. They had to upgrade all 13 users on RN to deluxe where they were paying ~$50/user/month to RN. His sales team was not happy because when they went to QB everything was very sticky for them. I instantly created a case but they had made a decision already to not continue with Method. (Notes added to activities under the account along with email conversations),5.1,392.0,I met again with our sales team and unanimously agree Method is not a good fit. There are too many issues to overcome.-----------------Method was slowing their QB file on RN. They had to upgrade all 13 users on RN to deluxe where they were paying ~$50/user/month to RN. His sales team was not happy because when they went to QB everything was very sticky for them. I instantly created a case but they had made a decision already to not continue with Method. (Notes added to activities under the account along with email conversations),Integration Issues
xperienceag,Other - please specify,Switching to a different provider.,60.9,392.0,Switching to a different provider.,Competitor Loss
skinhealthcanadaCo1,Not using their Method Account,We decided to cancel the subscription.,13.0,392.0,We decided to cancel the subscription.,Uncategorized
acc84481,Difficult to Customize,"The system didn't work for us out of the box. We believe in the principles of the system but don't have time or the patience to start working on customization for it to do what we needed. Also, after basic functions didn't work, we lost confidence in starting to customize. ",1.5,392.0,"The system didn't work for us out of the box. We believe in the principles of the system but don't have time or the patience to start working on customization for it to do what we needed. Also, after basic functions didn't work, we lost confidence in starting to customize.",Poor Customization
tmjs,Other - please specify,"We switched to a more robust CRM, nothing that you did wrong.",4.5,390.0,"We switched to a more robust CRM, nothing that you did wrong.",Competitor Loss
beyondthegrind,Sold Business / Closing Company,We have sold the company so no longer require method as the new owners are using netsuite.  Thank you for all your help.,58.9,383.0,We have sold the company so no longer require method as the new owners are using netsuite.  Thank you for all your help.,Competitor Loss
aft2,Using another CRM Product,We have transistion to Netsuite and will no longerneed method services,10.2,383.0,We have transistion to Netsuite and will no longerneed method services,Competitor Loss
alexochakovskycpa,Service / Support / Help Center,not user friendly! Bad customer service with charding and not even refunding for the account that supposed to be closed!,15.1,383.0,not user friendly! Bad customer service with charding and not even refunding for the account that supposed to be closed!,Uncategorized
alumission,"Failure to adopt, train, and engage CRM users","Kenny (partner who helped with the account setup) has shared:I’m not exactly sure.  The account was customized 100% to their requirements.  They use a Callrail solution for inbound forms and phone leads and that integrates to Method through Zapier.  On Friday I called an issue to their attention when they said they weren’t receiving leads into Method. I researched and found that they had exceeded their monthly Zapier limit and that they were changing Callrail numbers too quickly and Callrail had a notice that some leads may not be tracked which could mean that they also weren’t sent into Zapier to Method.  In both cases it was the client’s responsibility to update their accounts appropriately. Their integration with Method was at 100%.  In fact, I went overboard to do video training walkthroughs and highly customized back end work to meet their needs.  However, in many cases throughout working with the client they missed scheduled meetings, needed multiple trainings on the same issues, did not communicate effectively with each other or with me, and had issues cleaning up their inventory effectively.  My understanding is that they also fired 3 key people during the ramp up. I’ve sent an email to them this morning to clarify why the decision was made to cancel the Method solution because it was working 100%. Regards,Kenny",7.2,381.0,"Kenny (partner who helped with the account setup) has shared:I’m not exactly sure.  The account was customized 100% to their requirements.  They use a Callrail solution for inbound forms and phone leads and that integrates to Method through Zapier.  On Friday I called an issue to their attention when they said they weren’t receiving leads into Method. I researched and found that they had exceeded their monthly Zapier limit and that they were changing Callrail numbers too quickly and Callrail had a notice that some leads may not be tracked which could mean that they also weren’t sent into Zapier to Method.  In both cases it was the client’s responsibility to update their accounts appropriately. Their integration with Method was at 100%.  In fact, I went overboard to do video training walkthroughs and highly customized back end work to meet their needs.  However, in many cases throughout working with the client they missed scheduled meetings, needed multiple trainings on the same issues, did not communicate effectively with each other or with me, and had issues cleaning up their inventory effectively.  My understanding is that they also fired 3 key people during the ramp up. I’ve sent an email to them this morning to clarify why the decision was made to cancel the Method solution because it was working 100%. Regards,Kenny",Poor Customization
pacificlampwholesale,Service / Support / Help Center,"Does not serve our needs, support is not good.",18.5,378.0,"Does not serve our needs, support is not good.",Uncategorized
xitoutdoorsllc2,Using another CRM Product,We hired a new CRM manager who is a pro on a different platform.,6.3,371.0,We hired a new CRM manager who is a pro on a different platform.,Uncategorized
msquarebhinc,,Moving forward with another system. ,11.9,370.0,Moving forward with another system.,Uncategorized
corbymechanicalservicesltd,Tech Issue - Applications & Sync,Failed to do the basic's correctly. Could not calculate tax every time and changed payment terms. Unable to send purchase orders in a manner that suppliers can accept. As HTML they ended min spam.,5.5,366.0,Failed to do the basic's correctly. Could not calculate tax every time and changed payment terms. Unable to send purchase orders in a manner that suppliers can accept. As HTML they ended min spam.,Feature Gaps
hotsyofsoutherncalifornia,Other - please specify,Never able to sync. Wasted too much time trying to make it work.,1.1,366.0,Never able to sync. Wasted too much time trying to make it work.,Integration Issues
aqueoussolution,No longer using QuickBooks,"The customer has fully transitioned to Odoo and is no longer using QuickBooks. All data was successfully migrated and exported from both QuickBooks and Method.

Sean expressed his appreciation for the services we provided, but due to the growth of his business, they have shifted towards an ERP implementation, which  started on January 1, 2024 and went live in 2025.",29.0,366.0,"The customer has fully transitioned to Odoo and is no longer using QuickBooks. All data was successfully migrated and exported from both QuickBooks and Method.

Sean expressed his appreciation for the services we provided, but due to the growth of his business, they have shifted towards an ERP implementation, which  started on January 1, 2024 and went live in 2025.",Integration Issues
newcosolarsolutions5,Other - please specify,"Thanks for following up and sorry we will not go ahead at this moment.

We are experiencing business downturn right now and Kendra got laid off unfortunately.

So we will have to postpone this project for now, I hope we will get chance to review it next year when our business picks up.",0.5,365.0,"Thanks for following up and sorry we will not go ahead at this moment.

We are experiencing business downturn right now and Kendra got laid off unfortunately.

So we will have to postpone this project for now, I hope we will get chance to review it next year when our business picks up.",Uncategorized
red10rv2,Feature Gap,Changed to a Document Management System. ,24.1,365.0,Changed to a Document Management System.,Uncategorized
adapt8,Other - please specify,This is a test account which they did not use. They will create another one because they liked what they saw,0.6,365.0,This is a test account which they did not use. They will create another one because they liked what they saw,Uncategorized
InTotoManagementConsulting,Other - please specify,"Almost all our tenants pay through ACH. We have QuickBooks desktop so Method doesn't integrate with our Intuit processor. Of the options Method does integrate with: PSI Gateway doesn't have ACH capability, PayPal has ACH capability through TeleCheck but it only works through a website and not a service like Method (which PayPal only explained after they first told me to get TeleCheck), and Authorize.Net wanted to charge us $500+ a month for ACH. We can't use Method if none our our tenants can pay us. We only need the portal to accept payments and have them sync with QuickBooks.",1.8,364.0,"Almost all our tenants pay through ACH. We have QuickBooks desktop so Method doesn't integrate with our Intuit processor. Of the options Method does integrate with: PSI Gateway doesn't have ACH capability, PayPal has ACH capability through TeleCheck but it only works through a website and not a service like Method (which PayPal only explained after they first told me to get TeleCheck), and Authorize.Net wanted to charge us $500+ a month for ACH. We can't use Method if none our our tenants can pay us. We only need the portal to accept payments and have them sync with QuickBooks.",Feature Gaps
ametroy,Other - please specify,Change in acct. ownership/Not using,52.5,360.0,Change in acct. ownership/Not using,Uncategorized
Yebo,,"too difficult to use, not enough customer support",4.9,360.0,"too difficult to use, not enough customer support",Feature Gaps
WestprimeHealthcare,,too slow to sync. not working with us.,19.9,360.0,too slow to sync. not working with us.,Integration Issues
bungalow,,We have moved on to a cloud-based ERP & CRM. Thank you!,43.1,360.0,We have moved on to a cloud-based ERP & CRM. Thank you!,Uncategorized
easternjunglegym,Other - please specify,"We have changed accounting software
Thank You",44.0,360.0,"We have changed accounting software
Thank You",Uncategorized
turtletechdesign,No longer using QuickBooks,"On behalf of TurtleTech Design, Inc, dba MOVA International, I would like to cancel our business account and remove our credit card information from your files. While it has been a pleasure using your services, we have since transitioned to a new ERP with an integrated CRM system.",85.0,360.0,"On behalf of TurtleTech Design, Inc, dba MOVA International, I would like to cancel our business account and remove our credit card information from your files. While it has been a pleasure using your services, we have since transitioned to a new ERP with an integrated CRM system.",UX/UI Issues
PaluxyRiverHoldings,,Found a better software that fits our needs.,17.9,360.0,Found a better software that fits our needs.,Uncategorized
tacticalfitnessgsa,Using another CRM Product,"The field mapping and transfer from ACT was not successful.  I believe Method tried to ‘understand’ the import based on already existing records in our QB program, which often do not match our CRM records, and this created a dysfunctional blend of inaccurate data in the Method fields.

In my mind, complete synchronicity between our CRM and accounting software would in theory be the way forward, but in practice I believe it entails hundreds of hours of clean-up work (and more costly field mapping for the data transfer) to successfully match and merge.  

Please note:  Harsh was an amazing Method representative, he answered all our questions and helped us better understand Method.  We now know we have much to clean up before linking QB and our CRM.",1.9,355.0,"The field mapping and transfer from ACT was not successful.  I believe Method tried to ‘understand’ the import based on already existing records in our QB program, which often do not match our CRM records, and this created a dysfunctional blend of inaccurate data in the Method fields.

In my mind, complete synchronicity between our CRM and accounting software would in theory be the way forward, but in practice I believe it entails hundreds of hours of clean-up work (and more costly field mapping for the data transfer) to successfully match and merge.  

Please note:  Harsh was an amazing Method representative, he answered all our questions and helped us better understand Method.  We now know we have much to clean up before linking QB and our CRM.",Integration Issues
beavercreekfirewoodllc,"Failure to adopt, train, and engage CRM users",Don't use enough to justify cost.,2.2,354.0,Don't use enough to justify cost.,Price/Value
bynature,Difficult Workflows / Workflow Challenges,We went another route for our leads management,4.0,353.0,We went another route for our leads management,Uncategorized
smartin,Other - please specify,"Could not do customer quotes in the field as we use Quick Books groups and it would not pull prices.  Also had issues with mobile app.  
In addition to this my team is small and we did not find any benefit to using it in our organization ",11.1,346.0,"Could not do customer quotes in the field as we use Quick Books groups and it would not pull prices.  Also had issues with mobile app.  
In addition to this my team is small and we did not find any benefit to using it in our organization",UX/UI Issues
heartrateinc3,Using another CRM Product,"We went with Sales Force. Method was fun but, we shifted into deeper CRM and Sales Force hit that mark.",20.0,343.0,"We went with Sales Force. Method was fun but, we shifted into deeper CRM and Sales Force hit that mark.",Uncategorized
aibllc01,Sold Business / Closing Company,"You didn't, but the owner of the company has closed up the business.
Thank you.",27.9,342.0,"You didn't, but the owner of the company has closed up the business.
Thank you.",Uncategorized
gatesel,Difficult to Customize,"Method does not fit the way we run our business.
After numerous attempts and much $ spent, we can not make the system work for us.
",20.2,342.0,"Method does not fit the way we run our business.
After numerous attempts and much $ spent, we can not make the system work for us.",Uncategorized
wallpencorp,Difficult Workflows / Workflow Challenges,"In all ways possible, there was nothing intuitive and all of the data entry was very manual and we wasted a lot of time and money we could have spent working on our leads, rather than data entry and correction in this tool. Do better.",6.4,342.0,"In all ways possible, there was nothing intuitive and all of the data entry was very manual and we wasted a lot of time and money we could have spent working on our leads, rather than data entry and correction in this tool. Do better.",UX/UI Issues
metalroofingcenter,Tech Issue - Applications & Sync,"I couldn't get method to communicate both ways with Quickbooks.  I tried to get help and was not successful with that.  I was finally told that I had to communicate with intuit directly, period.  I was unable to get help from them.  I didn't even know who to turn to.  I was also disappointed in how difficult it was to customize the system!",6.6,342.0,"I couldn't get method to communicate both ways with Quickbooks.  I tried to get help and was not successful with that.  I was finally told that I had to communicate with intuit directly, period.  I was unable to get help from them.  I didn't even know who to turn to.  I was also disappointed in how difficult it was to customize the system!",Feature Gaps
