Account Name,Cancellation Reason,Cancellation Reason Other,Tenure_Months,Last Invoice $
alumission,"Failure to adopt, train, and engage CRM users","Kenny (partner who helped with the account setup) has shared:I’m not exactly sure.  The account was customized 100% to their requirements.  They use a Callrail solution for inbound forms and phone leads and that integrates to Method through Zapier.  On Friday I called an issue to their attention when they said they weren’t receiving leads into Method. I researched and found that they had exceeded their monthly Zapier limit and that they were changing Callrail numbers too quickly and Callrail had a notice that some leads may not be tracked which could mean that they also weren’t sent into Zapier to Method.  In both cases it was the client’s responsibility to update their accounts appropriately. Their integration with Method was at 100%.  In fact, I went overboard to do video training walkthroughs and highly customized back end work to meet their needs.  However, in many cases throughout working with the client they missed scheduled meetings, needed multiple trainings on the same issues, did not communicate effectively with each other or with me, and had issues cleaning up their inventory effectively.  My understanding is that they also fired 3 key people during the ramp up. I’ve sent an email to them this morning to clarify why the decision was made to cancel the Method solution because it was working 100%. Regards,Kenny",7.2,381.0
pacificlampwholesale,Service / Support / Help Center,"Does not serve our needs, support is not good.",18.5,378.0
xitoutdoorsllc2,Using another CRM Product,We hired a new CRM manager who is a pro on a different platform.,6.3,371.0
msquarebhinc,,Moving forward with another system. ,11.9,370.0
aaaelectricalofnorthcarolinallc1,Other - please specify,duplicate account. correct account is aaaelectricalofnorthcarolinallc2,1.1,369.0
saltpepper,Using another CRM Product,Using new program,40.3,368.0
alabamapigments,Not using their Method Account,not being used,20.5,367.0
corbymechanicalservicesltd,Tech Issue - Applications & Sync,Failed to do the basic's correctly. Could not calculate tax every time and changed payment terms. Unable to send purchase orders in a manner that suppliers can accept. As HTML they ended min spam.,5.5,366.0
hotsyofsoutherncalifornia,Other - please specify,Never able to sync. Wasted too much time trying to make it work.,1.1,366.0
aqueoussolution,No longer using QuickBooks,"The customer has fully transitioned to Odoo and is no longer using QuickBooks. All data was successfully migrated and exported from both QuickBooks and Method.

Sean expressed his appreciation for the services we provided, but due to the growth of his business, they have shifted towards an ERP implementation, which  started on January 1, 2024 and went live in 2025.",29.0,366.0
odhdistributing,Other - please specify,Will be back,1.4,365.0
red10rv2,Feature Gap,Changed to a Document Management System. ,24.1,365.0
adapt8,Other - please specify,This is a test account which they did not use. They will create another one because they liked what they saw,0.6,365.0
newcosolarsolutions5,Other - please specify,"Thanks for following up and sorry we will not go ahead at this moment.

We are experiencing business downturn right now and Kendra got laid off unfortunately.

So we will have to postpone this project for now, I hope we will get chance to review it next year when our business picks up.",0.5,365.0
InTotoManagementConsulting,Other - please specify,"Almost all our tenants pay through ACH. We have QuickBooks desktop so Method doesn't integrate with our Intuit processor. Of the options Method does integrate with: PSI Gateway doesn't have ACH capability, PayPal has ACH capability through TeleCheck but it only works through a website and not a service like Method (which PayPal only explained after they first told me to get TeleCheck), and Authorize.Net wanted to charge us $500+ a month for ACH. We can't use Method if none our our tenants can pay us. We only need the portal to accept payments and have them sync with QuickBooks.",1.8,364.0
ametroy,Other - please specify,Change in acct. ownership/Not using,52.5,360.0
Yebo,,"too difficult to use, not enough customer support",4.9,360.0
WestprimeHealthcare,,too slow to sync. not working with us.,19.9,360.0
bungalow,,We have moved on to a cloud-based ERP & CRM. Thank you!,43.1,360.0
easternjunglegym,Other - please specify,"We have changed accounting software
Thank You",44.0,360.0
turtletechdesign,No longer using QuickBooks,"On behalf of TurtleTech Design, Inc, dba MOVA International, I would like to cancel our business account and remove our credit card information from your files. While it has been a pleasure using your services, we have since transitioned to a new ERP with an integrated CRM system.",85.0,360.0
planetwineus,Using another CRM Product,switch to another system,33.6,360.0
PaluxyRiverHoldings,,Found a better software that fits our needs.,17.9,360.0
tacticalfitnessgsa,Using another CRM Product,"The field mapping and transfer from ACT was not successful.  I believe Method tried to ‘understand’ the import based on already existing records in our QB program, which often do not match our CRM records, and this created a dysfunctional blend of inaccurate data in the Method fields.

In my mind, complete synchronicity between our CRM and accounting software would in theory be the way forward, but in practice I believe it entails hundreds of hours of clean-up work (and more costly field mapping for the data transfer) to successfully match and merge.  

Please note:  Harsh was an amazing Method representative, he answered all our questions and helped us better understand Method.  We now know we have much to clean up before linking QB and our CRM.",1.9,355.0
beavercreekfirewoodllc,"Failure to adopt, train, and engage CRM users",Don't use enough to justify cost.,2.2,354.0
bynature,Difficult Workflows / Workflow Challenges,We went another route for our leads management,4.0,353.0
Major,No longer using QuickBooks,went with SAP,38.1,352.0
coloradoproductservices,Using another CRM Product,Went with another CRM,41.0,352.0
smartin,Other - please specify,"Could not do customer quotes in the field as we use Quick Books groups and it would not pull prices.  Also had issues with mobile app.  
In addition to this my team is small and we did not find any benefit to using it in our organization ",11.1,346.0
PIFL2018,Other - please specify,Sales ppl not happy,4.1,343.0
heartrateinc3,Using another CRM Product,"We went with Sales Force. Method was fun but, we shifted into deeper CRM and Sales Force hit that mark.",20.0,343.0
inhomeus,Using another CRM Product,"don't need any longer, we have Prophet21 with build in CRM module  ",23.8,342.0
metalroofingcenter,Tech Issue - Applications & Sync,"I couldn't get method to communicate both ways with Quickbooks.  I tried to get help and was not successful with that.  I was finally told that I had to communicate with intuit directly, period.  I was unable to get help from them.  I didn't even know who to turn to.  I was also disappointed in how difficult it was to customize the system!",6.6,342.0
wallpencorp,Difficult Workflows / Workflow Challenges,"In all ways possible, there was nothing intuitive and all of the data entry was very manual and we wasted a lot of time and money we could have spent working on our leads, rather than data entry and correction in this tool. Do better.",6.4,342.0
gatesel,Difficult to Customize,"Method does not fit the way we run our business.
After numerous attempts and much $ spent, we can not make the system work for us.
",20.2,342.0
aibllc01,Sold Business / Closing Company,"You didn't, but the owner of the company has closed up the business.
Thank you.",27.9,342.0
reliabletradinginc,No longer using QuickBooks,"Customer migrated from MethodCRM to Odoo due to lower cost and greater customization flexibility. Odoo s self-hosted setup removed the need for Method as a middleware between their system and QuickBooks. Customer remains satisfied with Method and will recommend it to other QuickBooks users.

The biggest issue was QB pricing increases",109.8,340.0
hi5furniture,Not using their Method Account,not right and too much money!,0.7,340.0
proelnorthamerica2,Other - please specify,This is duplicate. Original is: proelnorthamerica,0.1,340.0
precyseinc,,We simply are not using Method enough to justify the cost.,4.1,335.0
fireetc,Not using their Method Account,.,7.3,333.0
glfast,Other - please specify,"John had shared 1. Method cannot pull QB inventory quantity or location

Still need to use QB for this 2. Sync issue when credit limit is 0.00 or exceeded  3. Cannot have multiple “Ship To” locations in drop down menu like QB. Must enter alternate Ship To’s manually",5.5,333.0
bdgsafety,"Failure to adopt, train, and engage CRM users",We just did not like it. system did not meet our expectations,6.9,332.0
memmertusa3,Other - please specify,"Good morning, as of now we are exploring other options.",1.2,328.0
phillycase2,Tech Issue - Applications & Sync,"Unfortunately this issue (https://method.atlassian.net/browse/PL-33237) had caused Method to be unusable by Boyd and team since inception. They have worked with both our Support team and Mahlon with hopes to resolve the issue, however with the platform limitation they are choosing to cancel.",16.8,327.0
zvoxaudio,Other - please specify,We mainly used Method as an RMA database and we have recently moved to another system so we no longer need Method. We have been very pleased with your services and would recommend you to others.,103.4,325.0
americanrootswear,"Failure to adopt, train, and engage CRM users",It was originally intended for your sales team and the sales team is not there anymore thus the reason for this cancellation. Asked them that I can help them with additional training for users who are with the company but they declined,23.3,325.0
prohospitalsupply,Not using their Method Account,We're just not ready - nobody is using it yet and we're paying for nothing. ----------They're a new company that provideshospital with supplies supplies (new company)They were interested in leveraging the signature widget to approve orders. They also wasnted the ability to search customers based on certain items that they have purchased in the past.,3.0,322.0
bodhihigh,Other - please specify,The reason we switched is because we are in the cannabis industry and one of our tracking tools had created additions that fit our CRM needs. ,21.0,320.0
LobeProPumps,,Just did not work for my sales reps. They were not using it.,12.1,320.0
absaraaudio,Other - please specify,"Switching off of Quickbooks, Method is no longer needed, but the service was good while we used it. ",16.5,320.0
MODdisplaysLLC,,Timing does not work well for us at this point. We had some implementation issues with Method due to a development error that took almost three weeks to correct. We are heading into our busy season now and our staff does not have enough time to learn Method before we become very busy.,2.4,320.0
hemco,,The integration is not as seamless as we would like and in sync mode our system slows down too much. Our sales staff does not find the software beneficial to organize their business.,25.3,320.0
jpcookecompany,Duplicate Account,"You didn't. You are the absolute best. We had to start a new account due to QuickBooks complications. Love, kisses, hugs, chocolate, and make sure to subscribe to the Commuters Podcast by Mar:ONE",10.7,320.0
evolvegolf,Other - please specify," It is a bad CRM lacking the functionality as compared to other CRM's. Zoho and Salesforce are best ones. We are moving to Zoho, which is much better. We tried to reach out to you for various issues which were never resolved. It is just not a good fit for our business.
They have exported all their data.  Overall,  not happy with the service.",42.8,320.0
kinetictools4,Other - please specify,Original is: kinetictoolsinc,0.9,320.0
kikostefanov,Other - please specify,"""Please discontinue the CRM service for QB, we migrated to NetSuite at the first of the year and no longer need this service  """,17.2,320.0
MIC,,Sales team did not want to use it. Senior management requested I cancel it.,7.0,320.0
greenselectricllc2,Other - please specify,We are not using CRM!,6.5,320.0
gpcqbo2,Duplicate Account,"Churn Exception Reason: 
Duplicate Account
Other Account:
georgiapowdercoating3
-------------------
Did not let me down, we just had multiple Method accounts while switching accounts from QBD to QBO",1.5,320.0
rainharvestsystems,Other - please specify,Main users no longer using it. ,23.9,320.0
impelamericaappliancescorp2,Difficult Workflows / Workflow Challenges,I do not need it anymore.,4.1,320.0
keyportllc,Signing up for new Method account,"New account already open """"Keyport2016""""",3.7,320.0
AmericanFiberPackaging,,"I needed a more robust offering that offered data tracking for manufacturing.  Went with QuickBase.  Method syncs seamlessly but the customization tool/editor is AWFUL!  I was told I could pay for a developer but I only wanted to move fields around and add some and remove some.  The editor was totally useless.  

Scott  ",27.9,320.0
reliablelift,Difficult UI,"not user friendly, especially for sales, especially for tablets. slow response time within the app. frequent white screen issues throughout the subscription.",25.6,320.0
hydrafabnw,Other - please specify,didn't meet our needs,4.4,319.0
acxessspring1,"Failure to adopt, train, and engage CRM users",I don't need it,86.9,316.0
maggardmemorials,Other - please specify,"I do not think Method will work for us as it is going to be too expensive we signed up for the trial, but did not move forward because we won’t be able to afford to $260 a month
_____________________

They do not want to spend more than $60/month for all their users",1.0,316.0
kolbitrial,Using another CRM Product,We were able to get a great deal with hubspot to handle both our CRM and our marketing and link sales in our shopify website to our CRM,65.2,315.0
crbeauty1,,"it did not work with the flow of our business, the lack of reporting tools, did not easily allow me to monitor the activities of the sales staff. A report like Sales activities by rep would have made all the difference in the world, the problem is to capture this you have to export and collate several different pieces of data, sales rep's are reluctant to participate in any thing that provides complete transparency to their activities. so  any excuse or functionality gag they exploit. ",6.9,315.0
ernestsports,Other - please specify,"Using another CRM, user claimed he cancelled 2 months ago but has no proof.",58.0,315.0
tristarcoatings,Non-payment,"The customer decided to cancel, noting that Method is not designed as a sales-first CRM. They faced challenges with account assignment, multi-currency reporting, and limited sales data visualization. While Method can address some of these needs through customization, the customer preferred a system that offered stronger sales features out-of-the-box.

The customer evaluated Nutshell and found it provided a better immediate sales experience, particularly around pipelines, dashboards, and reporting visibility.",1.4,312.0
perichem,Difficult to Customize,Very difficult to customize and activity reports are not easily listed,4.3,312.0
msdglobal,Other - please specify,"not ready for this yet...as a company.

Notes;
Offered the customer another free hour but they said that they weren't ready to get that done. Kent knew how to customize the Method account but didn't had enough time to do it. Kent said  We are paying for Method for last 6-8 months and not using it at all .",25.3,312.0
smartearthtech,Feature Gap,"Lacks required functionality, Kim Glassman worked with help desk and met with developers already",6.0,309.0
Eaxtron,Using another CRM Product,Going with Hubspot,26.9,309.0
canoraweavingandtarpmanufacturing2,Other - please specify,"Caused lots of issues! slow to work with quickbooks. we lost over  $1000.00 on 2 invoics through method because it didnt update correctly. Couldnt get invoice to show our GST and PST numbers which is a legal requirement where we live. Sales orders wont allow backorders, took way to long to set up forms as you couldnt apply to all. Overall your product is way too expensive for its value/complexness to use. 

Purchase orders to suppliers send as though they are the ones who placed the order. Which is highly unprofessional, as well they have to lofin to see it, they cant just take a pdf from the email which most of my suppliers IT departments wont allow. I took alot of this into consideration with my suppliers to discontinue the use of your product.",0.9,308.0
legacyflooringamericaCo3,Not using their Method Account,you didn't we simply are not using it,11.5,307.0
portcitymobile,Using another CRM Product,Implemented a new operational software system and no longer need Method.,30.5,306.0
outdoorroomsbydesignllc2,"Failure to adopt, train, and engage CRM users",too complex for what I need,9.7,306.0
aimodessa,Other - please specify,No response to hold ,1.7,306.0
ultimatebrandsllc3,"Failure to adopt, train, and engage CRM users",Team didnt use the app as expected.,6.0,305.0
yellowbuslabs,Other - please specify,duplicate account yellowbuslabs2,0.3,305.0
activelifepromo,Other - please specify,They want to connect Method with Shopvox and not with QB. They want a CRM which works with their order management system Shopvox ,0.0,305.0
standardarmsinc,Other - please specify,This software is not going to be a proper fit for our company needs,0.0,305.0
ifloortape,Other - please specify,Didn't meet our email marketing needs.,1.0,305.0
beatricebakery2,Tech Issue - Applications & Sync,"The customer experienced ongoing sync issues and delays in resolving them, which impacted their workflow. While alternative solutions, including manual workarounds for Outlook integration, were explored, they did not fully meet the customer’s needs. As a result, the platform was not a good fit for their specific requirements, leading to their decision to cancel.",11.4,305.0
mountainpathorganics,,No using.,35.1,300.0
Cabeau,Not using their Method Account,"Carmen called in letting me know that for the last year, an employee of theirs has been abusing the company credit card and they were unaware they were still paying for Method until very recently. I checked and their last login was Sept 2014.  Would now like to close it off as they use an ERP and had no idea Method was still active.",27.6,300.0
banksdistro,Feature Gap,"Not enough features, overpriced",22.8,299.0
ULCsales,No longer using QuickBooks,We moved our accounting platform to a new system that is not Quick Books so we are moving our CRM as well.,18.2,298.0
easternmetalofelmira,Using QuickBooks Only (no other app),"Method is a great service and worked well for us over the past years. We recently upgraded our servers, and our sales team now has direct access to quoting, orders, and invoices. These were our big reason for having method.",43.0,298.0
milcomm,Other - please specify,Not ready yet - Owner was away and did not co-ordinate,1.0,298.0
creatingbetterdays,Employee Attrition / Champion Churn,"Main champion, Kelsey no longer there. Toni (AP contact) shared: We have not used this system in a very long time. 
So now that we have been out of it for a while, we felt we could go without it, now.",90.4,296.0
seatradeeurope,Non-payment,"Internal Reason: Daily utilization among the Seatrade team consistently hit 90%+, with an average of 300+ events actioned per day in Q4 2024.   The team gave it their full shot, they honestly just could get over how difficult it was to use the platform for day to day use.

While customization could solve some workflows, Tim (Champion and Decision-Maker) wanted his team to adopt the core application before investing in the platform. 

In particular - 3 key areas broke down the relationship:
1.) Issues with Reference Numbers, duplicating, not generating, overriding one another. 

2.) Difficulties on reporting and how many clicks it took to report on the information they needed.

3.) What s app integration (where they do most of their communication) was the nail in the coffin.",5.0,296.0
pnwecs,Tech Issue - Applications & Sync,"The interaction between QBOu * <,method is not seamless.  Method would maintain a numbered order for Estimates,, invoices, or PO's.  In essence doubling some clerical work too keep accounting accurate.",5.0,296.0
bigtruck2,"Failure to adopt, train, and engage CRM users",We have too many monthly fees and we are not using this.  Thank you!,17.6,295.0
