account,industry,sub_industry,workflow_pattern,total_events,classification_source,confidence,website,annual_sales,qbo_industry
sitepieces2,Furniture,Outdoor Site Furnishings,crm_pipeline,12,llm_classification,medium,sitepieces.com,"10,751,669",
tekkometals,Manufacturing,Metal Fabrication,crm_pipeline,27,llm_classification,medium,,"1,436,760",Other building material dealers
catsfilters,Industrial,Filtration,crm_pipeline,102,llm_classification,medium,,0,(No Type)
stamfordtimeandco,Food & Beverage,Spirits,crm_pipeline,12,llm_classification,medium,,"148,110",
pneusquebecnet,Automotive,Tires,crm_pipeline,1745,manual_verification,high,,"284,712",
ssifiresolutions,Safety Equipment,Fire Safety,quote_driven,58,llm_classification,medium,,"366,371",Fire protection
mycologicalnaturalproducts,Other,Unclassified,crm_pipeline,27,unclassified,,,"1,339,002",manufacturing
silverlinejudaica,Consumer Goods,Religious Products,transactional,1498,manual_verification,high,,"873,769",
bandtcommunicationsinc3,Other,Unclassified,quote_driven,199,unclassified,,,0,RetailSummary
larryssausage,Food & Beverage,Meat Processing,crm_pipeline,25,llm_classification,medium,,"12,762,837",Manufacturing
americansupplycompanyinc,Other,Unclassified,mixed,949,unclassified,,,"639,359",
big,Furniture,Furniture,crm_pipeline,14,llm_classification,medium,firestationfurniture.com,"569,756",Furniture stores
helenarosejewelry,Consumer Goods,Jewelry,quote_driven,422,manual_verification,high,,"2,949,164","Jewelry, watch, precious stone, and precious metal merchant wholesalers"
readyvista,Food & Beverage,Restaurant Supply,transactional,174,llm_classification,medium,,"1,111,757",
plasmaprocessgroup4,Services,Professional Services,crm_pipeline,57,llm_classification,medium,,"4,158,492",manufacturing
uselitegear,Other,Unclassified,transactional,473,unclassified,,,"6,001,764",
dtsdirect,Other,Unclassified,transactional,834,unclassified,,,"2,016,671",Other construction material merchant wholesalers
candhaggregatesllc,Other,Unclassified,quote_driven,203,unclassified,,,"1,990,416",WholesaleDistributionandSales
africanchoicemarketltd,Other,Unclassified,quote_driven,264,unclassified,,,"1,333,975",
ultimax,Other,Unclassified,transactional,211,unclassified,,,"265,581",Printing
emeryallen2,Other,Unclassified,crm_pipeline,12,unclassified,,,"6,648,325",
rakit3,Other,Unclassified,crm_pipeline,117,unclassified,,,"266,760","Trades work (e.g. Plumber, Carpenter, Electrician)"
brandxmetalsinc2,Consumer Goods,Promotional Products,quote_driven,48,llm_classification,medium,,910,manufacturing
sacredstudiosinc,Food & Beverage,Coffee,transactional,650,llm_classification,medium,,"4,628,727",Marketing consulting services
tangiblecreative2,Manufacturing,3D Printing Services,crm_pipeline,213,llm_classification,medium,,"1,323,986",
bioskinaestheticsinc,Consumer Goods,Beauty/Personal Care,mixed,16477,llm_classification,medium,,"5,125,780",
crimsonimaging,Food & Beverage,Spirits,quote_driven,39,llm_classification,medium,,"356,087",Office supplies and stationery stores
sheffieldsupplyandequipmentoftexasllc,Other,Unclassified,crm_pipeline,18,unclassified,,,"265,130",
sheffieldsupplyandequipment,Other,Unclassified,crm_pipeline,20,unclassified,,,"1,539,098",
solshinehair,Food & Beverage,Spirits,transactional,81,llm_classification,medium,,"227,398","Cosmetics, beauty supplies, and perfume stores"
icandyenergydrink,Food & Beverage,Spirits,transactional,2206,llm_classification,medium,,"82,672",Beverage
customindustrial2,Other,Unclassified,transactional,177,unclassified,,,"277,741",Other industrial machinery manufacturing
upstateanodizellc,Other,Unclassified,crm_pipeline,31,unclassified,,,0,
fosterus,Consumer Goods,Kitchen Appliances,mixed,13773,manual_verification,high,foster-us.com,"2,245,737","Household appliances, electric housewares, and con"
drinkade,Other,Unclassified,transactional,102,unclassified,,,"174,812",beverage
topoffice,Consumer Goods,Jewelry,quote_driven,1573,llm_classification,medium,,"415,241",Security systems services (except locksmiths)
perryco,Other,Unclassified,transactional,285,unclassified,,,0,
uniquewoodfloor,Construction & Building,Flooring,crm_pipeline,1627,llm_classification,medium,,"2,654,356",Floor covering stores
thomashayesstudio3,Services,Professional Services,quote_driven,2240,llm_classification,medium,,"3,820,991",
amtonllcbabyclubchic,Consumer Goods,Baby Products,mixed,1842,manual_verification,high,,"75,632",
precisiondoors3,Construction & Building,Doors & Windows,crm_pipeline,1235,llm_classification,medium,precisiondoors.org,"1,534,856",
todaytomorrowapparel,Consumer Goods,Apparel,transactional,192,llm_classification,medium,ttaclothing.com,"69,750",WholesaleDistributionandSales
bl2systemsllc,Technology,Software/Technology,crm_pipeline,157,llm_classification,medium,,"11,543,875",GeneralServicebasedBusiness
midwestbuildingsupply,Other,Unclassified,crm_pipeline,8,unclassified,,,"1,011,996",
artbrandsholdings,Consumer Goods,Promotional Products,transactional,140,llm_classification,medium,,"437,395",
abhasafinancialservices2,Services,Financial Services,mixed,1230,manual_verification,medium,,"1,190,400",
strongwellness,Other,Unclassified,crm_pipeline,11,unclassified,,,"187,080",
howardcountymd,Other,Unclassified,transactional,294,unclassified,,www.mobilitycity.com,"442,314",All other miscellaneous store retailers (except tobacco stores)
donecdistributors,Technology,Electronics Wholesale,crm_pipeline,1736,manual_verification,high,,"14,949,767",
miminternationalinc,Services,Professional Services,crm_pipeline,449,llm_classification,medium,,"198,398",
ghentindustrialsupplyinc,Other,Unclassified,crm_pipeline,17,unclassified,,,"459,813",WholesaleDistributionandSales
byisbeveragellc2,Other,Unclassified,quote_driven,168,unclassified,,,"136,671",
pspglobalwines2,Food & Beverage,Wine,transactional,514,llm_classification,medium,,"3,282,258",
medallionfence,Construction & Building,Fencing/Decking,quote_driven,1615,llm_classification,medium,,"1,893,791",Fence Manufacturing
nearymartin,Consumer Goods,Apparel,crm_pipeline,1190,llm_classification,medium,,"3,174,003",
reaganwirelesscorp,Electrical,Electrical Supply,quote_driven,1075,llm_classification,medium,,"72,496,670",RetailSummary
kabsolution2,Other,Unclassified,crm_pipeline,28,unclassified,,,"185,508",
memiairellc,Construction & Building,HVAC,transactional,317,llm_classification,medium,,"8,719,483",
awcomm2,Technology,Communications Equipment,quote_driven,3303,manual_verification,medium,,"8,683,324",other
amarenusa,Consumer Goods,Jewelry,quote_driven,895,llm_classification,medium,,"1,138,223",
superiorcleaningequipmentinc,Services,Professional Services,crm_pipeline,7,llm_classification,medium,,0,RetailSummary
classicexhaustsystemsllc,Technology,Software/Technology,transactional,442,llm_classification,medium,,"513,254",
mokanfastenerandsupply,Other,Unclassified,crm_pipeline,400,unclassified,,,"1,001,162",
picturethisframinginc,Food & Beverage,Spirits,transactional,318,llm_classification,medium,,"3,423,461",
militarypilotsupplyoftexasllc,Consumer Goods,Aviation Supplies,crm_pipeline,4006,manual_verification,medium,,"33,089,788",
easternwireproducts,Electrical,Electrical Supply,crm_pipeline,555,llm_classification,medium,,"14,953,153",manufacturing
lightingxcorp,Electrical,Lighting,quote_driven,85,llm_classification,medium,lightingx.com,0,
revivehealthcaregroup,Healthcare & Medical,Medical Equipment,quote_driven,472,llm_classification,medium,revivehealthcaregroup.com,"3,641,535",
miabsgpteltd,Food & Beverage,Wine,transactional,177,llm_classification,medium,,"294,012",20
thecarekioskptyltd,Automotive,Auto Parts,quote_driven,1311,llm_classification,medium,,"379,124",
dosesteel2,Food & Beverage,Spirits,quote_driven,606,llm_classification,medium,,"9,374,354",Manufacturing
labedahockeygear,Healthcare & Medical,Lab Equipment,transactional,57,llm_classification,medium,,"169,560",Sporting and athletic goods manufacturing
lot49llcdbabox7imports,Manufacturing,Packaging,quote_driven,159,llm_classification,medium,gmail.com,"1,814,736",
clandestinelabz,Healthcare & Medical,Lab Equipment,transactional,915,llm_classification,medium,,"19,384,411",Other miscellaneous nondurable goods merchant wholesalers
nationcor,Food & Beverage,Spirits,transactional,848,llm_classification,medium,,"3,408,184",
cyclallc,Food & Beverage,Spirits,quote_driven,104,llm_classification,medium,,"6,781,177",WholesaleDistributionandSales
pcparlor,Other,Unclassified,quote_driven,45,unclassified,,,"191,040",
maaribu,Food & Beverage,Coffee,transactional,225,llm_classification,medium,,"20,490",
outriggerpads,Consumer Goods,Jewelry,crm_pipeline,63,llm_classification,medium,,"5,077,473",Construction machinery manufacturing
greenandchapmanjv,Other,Unclassified,transactional,132,unclassified,,,"109,445,302",Petroleum bulk stations and terminals
premiumpb2,Other,Unclassified,quote_driven,172,unclassified,,,"566,476",manufacturing
insightsurgical,Other,Unclassified,transactional,104,unclassified,,,"774,434",
boschfamilybrewingcompanyllc,Food & Beverage,Craft Beer,transactional,4148,llm_classification,medium,,"1,091,302",
sabradental,Healthcare & Medical,Medical Equipment,crm_pipeline,20,llm_classification,medium,,"1,281,685",medical_dental_health
coffeebeancorral2,Food & Beverage,Coffee,crm_pipeline,25,llm_classification,medium,coffeebeancorral.com,"4,984,199",RetailSummary
woodforminteriorsltd,Construction & Building,Lumber,quote_driven,268,llm_classification,medium,,"1,019,696",
nupointsystems2,Technology,Software/Technology,quote_driven,146,llm_classification,medium,,"1,460,307",
holeintheroof2,Construction & Building,Roofing,quote_driven,56,llm_classification,medium,,"7,140,239",advertising_pr
chairstuff3,Construction & Building,HVAC,transactional,9316,llm_classification,medium,chairstuff.com,"4,837,347",
rainbowconcreteindustrieslimited,Construction & Building,Concrete/Masonry,crm_pipeline,587,llm_classification,medium,,"5,799,953",Manufacturing
automatedatticstair,Construction & Building,HVAC,quote_driven,1057,llm_classification,medium,,"289,560",home improvement
red88eyewearinc,Consumer Goods,Apparel,crm_pipeline,10,llm_classification,medium,,"1,875,124",WholesaleDistributionandSales
hddsupply,Other,Unclassified,transactional,393,unclassified,,,"4,669,605",
poochiepets2,Other,Unclassified,mixed,899,unclassified,,,"1,414,851",
greenmoab,Other,Unclassified,quote_driven,576,unclassified,,,"6,124,260",manufacturing
osupplies,Food & Beverage,Spirits,crm_pipeline,9958,llm_classification,medium,,"12,564",RetailSummary
sobremesamanagement2,Food & Beverage,Specialty Food Distribution,transactional,3190,manual_verification,high,sobremesamanagement.com,"3,074,318",
norenthermal,Industrial,Thermal Management,quote_driven,19907,manual_verification,high,,"3,076,620",
gtsimulators,Healthcare & Medical,Medical Training Simulators,quote_driven,16047,manual_verification,high,www.ibtcusa.com,"9,761,424",
gsova,Other,Unclassified,crm_pipeline,10,unclassified,,,"702,948",
elevatedmetalscorp2,Manufacturing,Metal Fabrication,transactional,1716,llm_classification,medium,,"531,597",Sheet metal work manufacturing
dubgifcollc,Other,Unclassified,mixed,768,unclassified,,,"150,792",WholesaleDistributionandSales
cooksmart2,Food & Beverage,Spirits,transactional,1636,llm_classification,medium,,"317,373,529",RestaurantCatererorBar
rayhil2,Electrical,Lighting,quote_driven,57,llm_classification,medium,rayhil.com,"8,173,734",OtherNone
progressivewestman3,Services,Professional Services,transactional,10062,llm_classification,medium,progressivewestman.ca,"5,285,089",Industrial launderers
flipoffice4,Furniture,Furniture,quote_driven,1993,llm_classification,medium,,"1,189,186",OtherNone
wallbedsnmore,Furniture,Furniture,quote_driven,336,llm_classification,medium,gmail.com,"386,016",
kennebeccabinetry,Food & Beverage,Spirits,crm_pipeline,338,llm_classification,medium,kennebeccompany.com,"3,233,551",Manufacturing
vacairindustries,Construction & Building,HVAC,transactional,1797,llm_classification,medium,vacairinc.com,"686,915",
experthosiery,Consumer Goods,Apparel/Hosiery,crm_pipeline,1185,manual_verification,high,experthosiery.com,"419,733",
southgateprocessequipmentinc,Industrial,Heat Transfer Equipment,quote_driven,3497,manual_verification,high,southgatepe.com,"7,117,328",
rainwatermanagmentsolutions,Construction & Building,Water Management,crm_pipeline,1893,manual_verification,high,rainwatermanagement.com,"12,696,332",other
pneumaticplus,Industrial,Industrial Equipment,crm_pipeline,1432,llm_classification,medium,pneumaticplus.com,"5,880,894",WholesaleDistributionandSales
fullcirclesolutionsllc,Manufacturing,Pallets/Packaging,transactional,1230,manual_verification,high,gmail.com,"6,884,401",
carolinalightinggroup,Electrical,Lighting,quote_driven,2778,llm_classification,medium,gmail.com,"1,839,550",Lighting
deccanfoods4,Food & Beverage,Food Distribution,quote_driven,192,llm_classification,medium,thedeccangroup.com,"10,003,378",WholesaleDistributionandSales
mobilitycityoflasvegas2,Other,Unclassified,transactional,273,unclassified,,www.mobilitycity.com,0,"Medical, dental, and hospital equipment and supplies merchant wholesalers"
fivehundredandfiftyfivedistribution,Other,Unclassified,mixed,719,unclassified,,gersontech.com,0,
theatticdepot2,Other,Unclassified,crm_pipeline,356,unclassified,,theatticdepot.com,"4,328,199",
betterbuychairsinc,Construction & Building,HVAC,crm_pipeline,9,llm_classification,medium,gmail.com,"1,345,425",Furniture and Home Furnishing Merchant Wholesalers
montanamixers,Services,Professional Services,quote_driven,92,llm_classification,medium,,"9,526,348",
vogona,Other,Unclassified,quote_driven,449,unclassified,,transmarkpartners.com,"1,033,933",
treatmenttechnology,Food & Beverage,Spirits,crm_pipeline,3822,llm_classification,medium,treatmenttech.net,"4,669,710",
duecksmechanicalinc,Services,Mechanical Services,quote_driven,2055,manual_verification,medium,diamondshelters.net,"991,565",
randolphpaper2,Manufacturing,Paper Distribution,transactional,13893,manual_verification,high,nextdaypaper.com,"1,580,391",wholesale_distribution
carlsondockandbarge,Automotive,Auto Parts,crm_pipeline,3871,llm_classification,medium,thelakeshorestore.com,"236,620",OtherNone
fishfoodies,Food & Beverage,Seafood,transactional,6364,llm_classification,medium,gmail.com,"9,137,605",
egeproducts,Industrial,Agricultural Chemicals,transactional,2141,manual_verification,high,egebio.com,"19,650,785",
dddirect,Construction & Building,Sealants/Building Materials,quote_driven,1594,manual_verification,high,dddirect.us,"283,357",
sherbistone,Construction & Building,Concrete/Masonry,crm_pipeline,16273,llm_classification,medium,sherbistone.com,"3,840,998",
publicmetal,Manufacturing,Metal Fabrication,quote_driven,175,llm_classification,medium,www.publicmetal.ca,"2,556,646",Manufacturing
sonomachampagnesabres,Food & Beverage,Wine,transactional,91,llm_classification,medium,sonomachampagnesabres.com,"180,347",
summitlaboratories2,Healthcare & Medical,Lab Equipment,transactional,3162,llm_classification,medium,summitlaboratories.com,"5,908,283",manufacturing
summitflooring,Construction & Building,Flooring,crm_pipeline,52,llm_classification,medium,summit-flooring.com,0,construction_contractor
ozenairtechnology2,Construction & Building,HVAC,crm_pipeline,84,llm_classification,medium,ozenairtech.com,"3,333,368",Manufacturing
aromaticfragrancetechnologies,Consumer Goods,Home Fragrance,crm_pipeline,29,llm_classification,medium,aromatictechnologies.com,"3,406,518",
rexdistributioninc,Food & Beverage,Chai & Coffee Equipment,mixed,33541,manual_verification,high,chaihai.ca,"3,213,497",
hisigns,Consumer Goods,Signs/Labels,quote_driven,8532,llm_classification,medium,knorth.ca,"6,786,488",
edreedcompany,Other,Unclassified,quote_driven,346,unclassified,,edreed.com,"2,182,947",manufacturing
mjjdassociatesllc,Consumer Goods,Jewelry,transactional,1979,llm_classification,medium,abex.com,"3,631,735",
davinciandtesla,Other,Unclassified,quote_driven,358,unclassified,,gmail.com,"1,019,681",
genesismachineandfabricationinc,Manufacturing,Metal Fabrication,quote_driven,34,llm_classification,medium,genesismf.com,"2,301,914",Industrial
bieldentalcabinetsrebielcompanyinc,Healthcare & Medical,Medical Equipment,quote_driven,1195,llm_classification,medium,bieldentalcabinets.com,"1,213,823",
chalmersford,Other,Unclassified,mixed,1036,unclassified,,gmail.com,"11,148,968",Manufacturing
kandedistributing2,Other,Unclassified,crm_pipeline,17,unclassified,,kedistributing.com,"14,516,697",wholesale_distribution
petitvin2,Food & Beverage,Wine,transactional,280,llm_classification,medium,petitvin.com,"756,879",
cpvusanew,Food & Beverage,Cooking Oils/Shortening,crm_pipeline,4357,manual_verification,high,cpvusa.com,"13,796,858",WholesaleDistributionandSales
callanindustrial2,Other,Unclassified,crm_pipeline,95,unclassified,,callanindustrial.com,"12,124",Manufacturing
underhillinternational,Other,Unclassified,crm_pipeline,262,unclassified,,uicorp.net,"11,163,493",OtherNone
hawkvalve,Food & Beverage,Spirits,quote_driven,386,llm_classification,medium,yahoo.com,"2,978,721",
canadalab,Food & Beverage,Spirits,quote_driven,276,llm_classification,medium,canadalab.ca,"397,348",
coastalwipers,Industrial,Cleaning Supplies,quote_driven,8611,manual_verification,high,coastalwipers.com,"3,945,971",(No Type)
bairespackusa2,Food & Beverage,Spirits,crm_pipeline,19,llm_classification,medium,bairespackusa.com,"3,194,699",Manufacturing
protechequipment,Food & Beverage,Spirits,quote_driven,467,llm_classification,medium,protechequipment.com,"8,462,892",
papajifoods3,Food & Beverage,Coffee,transactional,6852,llm_classification,medium,papajifoods.com,"2,564,067",General warehousing and storage
cooksdoorsandmouldingsinc,Construction & Building,Doors & Windows,crm_pipeline,4177,llm_classification,medium,cooksdoorsandmouldings.com,"472,311",
callanindustrial,Services,Professional Services,crm_pipeline,332,llm_classification,medium,callanindustrial.com,"3,051,836",WholesaleDistributionandSales
hucksterinc,Other,Unclassified,mixed,976,unclassified,,huckstersales.com,"12,607,399",
mnjenterprisellc,Food & Beverage,Kratom Products,transactional,7084,manual_verification,high,icloud.com,"32,192,595",
totalfeedsinc,Other,Unclassified,crm_pipeline,16,unclassified,,totalfeeds.com,"14,242,828",WholesaleDistributionandSales
opcdistributionllc,Other,Unclassified,crm_pipeline,967,unclassified,,opcdistributionllc.com,"1,763,884",
arboragri,Services,Professional Services,crm_pipeline,76,llm_classification,medium,arboragri.co.uk,"399,957",
automatedroomcontrolsinc2,Food & Beverage,Spirits,quote_driven,49,llm_classification,medium,ozopsystems.com,0,
redstonetechnical,Construction & Building,Concrete/Masonry,quote_driven,978,llm_classification,medium,redstonetechnical.com,"3,946,036",WholesaleDistributionandSales
lesgerstionsdmanagementlin,Other,Unclassified,crm_pipeline,31,unclassified,,gmail.com,"78,360",Grossistes en matériel et fournitures de chauffage et de climatisation à air chaud
mobilitycityofworcestermassachusetts,Healthcare & Medical,Mobility Equipment,transactional,1936,manual_verification,high,www.mobilitycity.com,"656,870",All other health and personal care stores
highpowerproducts,Other,Unclassified,quote_driven,174,unclassified,,highpowerproducts.com,0,GeneralServicebasedBusiness
southweststeelfabrication,Manufacturing,Metal Fabrication,transactional,138,llm_classification,medium,swsteelfab.com,"5,809,629",ConstructionTradesPlumberElectricianHVAC
staplesenterprises4,Other,Unclassified,transactional,980,unclassified,,staplesoil.com,"10,480,599",wholesale_distribution
norcada3,Food & Beverage,Spirits,quote_driven,2017,llm_classification,medium,norcada.com,"2,963,699",
vikingcommunicationsinc2,Other,Unclassified,quote_driven,355,unclassified,,viking-communications.com,0,
mobilitycityofgreatercincinnati,Other,Unclassified,transactional,981,unclassified,,www.mobilitycity.com,"663,216",All other miscellaneous store retailers (except tobacco stores)
ajco,Consumer Goods,Jewelry,mixed,4600,llm_classification,medium,arijewelryco.com,"2,018,511",
smindustries3,Construction & Building,Doors & Windows,mixed,2242,llm_classification,medium,s-mindustries.com,"8,110,650",wholesale_distribution
reidwitlinltd,Manufacturing,Commercial Textiles,crm_pipeline,2182,manual_verification,high,rwltd.com,"2,520,920",wholesale_distribution
protectconstruction,Safety Equipment,Safety Equipment,crm_pipeline,3493,llm_classification,medium,protectconstruction.com,"5,997,813",
marineinnovations2,Sports & Recreation,Marine/Boating,crm_pipeline,1088,llm_classification,medium,marineinnovations.com,"5,676,112",
ceramicainc,Construction & Building,Stone/Masonry,transactional,16781,manual_verification,high,ceramicainc.com,"747,520",
hydrospraywashsystemsinc,Technology,Software/Technology,quote_driven,219,llm_classification,medium,hsws.net,"696,995",
evolutiontrailertechnologies,Technology,Software/Technology,quote_driven,933,llm_classification,medium,gmail.com,0,
apparelstuffrus2,Consumer Goods,Apparel,crm_pipeline,282,llm_classification,medium,apparelstuffrus.com,"290,967",
mobilitycityofcoloradosprings,Consumer Goods,Jewelry,quote_driven,2911,llm_classification,medium,www.mobilitycity.com,"772,393",All other miscellaneous store retailers (except tobacco stores)
lmhdistribution,Industrial,Distribution,transactional,1288,manual_verification,low,lmhdist.com,"1,574,150",WholesaleDistributionandSales
sylcadesigns2,Consumer Goods,Jewelry,mixed,3832,llm_classification,medium,sylcadesigns.com,"772,740",
dsagllc2,Other,Unclassified,transactional,111,unclassified,,dsagmt.com,"3,527,371",AgricultureRanchingorFarming
boswellwindows3,Construction & Building,Doors & Windows,quote_driven,1374,llm_classification,medium,helmstaxstrategy.com,"1,328,454",
trimports,Industrial,Import/Distribution,mixed,1424,manual_verification,low,trimports.com,"1,020,894",
roimetalbuildings,Food & Beverage,Spirits,quote_driven,5070,llm_classification,medium,roimetalbuildings.com,"6,879,004",
pacificlink,Other,Unclassified,mixed,8897,unclassified,,pacificlink.com,"3,316,351",manufacturing
crowncreationsinc,Other,Unclassified,transactional,325,unclassified,,gmail.com,"2,104,770",Dental laboratories
boxgangmanufacturing2,Consumer Goods,Jewelry,crm_pipeline,290,llm_classification,medium,boxgangmfg.com,"20,376,032",
equustockopcollc,Furniture,Furniture,quote_driven,3733,llm_classification,medium,equustock.com,"7,899,836",Manufacturing
anchorsupply2,Healthcare & Medical,Medical Equipment,quote_driven,2813,llm_classification,medium,myanchorsupply.com,"1,512,216",
leadingedgesales2,Food & Beverage,Craft Beer,crm_pipeline,398,llm_classification,medium,leadingedgesales.ca,"4,840,795",
brinksmfgco,Consumer Goods,Jewelry,mixed,1205,llm_classification,medium,vanladder.com,"8,952,974",Manufacturing
hdindustriesinc,Other,Unclassified,crm_pipeline,57,unclassified,,pro-patch.com,"2,716,183",
mpactbeverage2,Food & Beverage,Craft Cocktails,transactional,5698,manual_verification,high,mpactbeverage.com,"12,714,336",GeneralProductbasedBusiness
abbeyhardware,Industrial,Tools/Hardware,quote_driven,1711,llm_classification,medium,abbeytrading.com,"5,872,814",WholesaleDistributionandSales
cbsolutionslp,Food & Beverage,Spirits,quote_driven,81,llm_classification,medium,cbsolutionslp.com,"998,322",OtherNone
