Account Name,MRR_Calculated,Employees,Website,Primary_Business_Type,Sample_Products
lampnutra2,322.0,1.0,lampnutra.com,Inventory-Based (Physical Products),"RYL-MD-CP-75 (deleted), RYL-WH-CP-75 (deleted), RYL-RD-CP-75 (deleted)"
luxurydistributiongroup,322.0,0.0,luxurydistributiongroup.com,Service-Based,Services
jit,320.0,10.0,,Inventory-Based (Physical Products),"**REMARK, HD-BARCODE, Bank Charge"
ntgproducts,320.0,27.0,,Service-Based,"S/H, CUSTOM NETTING, CONTACT-HLM"
knf,320.0,2.0,,Product-Based (Mixed Inventory),"SUBTOTAL, HANDLING, SHIPPING"
ebamethod,301.0,22.0,euroboor.com,Inventory-Based (Physical Products),"XXXFreight Daily Shipping (deleted), IBC.90, IBC.70"
bindersincCo1,299.0,3.0,bindersinc.com,NonInventory-Based (Digital/Services),"Shipping and handling notes, Freight (Shipping & Handling):Shipping Prepaid & Add, 110. MEDIA Holder (CD, Mem STK):*No Media Holder"
westernsquare1,286.0,35.0,,Service-Based,"DELIVERY CHARGE, 04 - P-COAT B-RACKS:29-2-7, FREIGHT"
baconmail,285.0,14.0,baconproducts.com,Product-Based (Mixed Inventory),"E 78002-7, E 78013-3, Hummingbird 10016-0 Nectar"
customequipmentcompanyinc,280.0,8.0,,Hybrid (Mixed),"Freight, Surcharge:CC Processing, WireFence"
tritterfeeferCo1,279.0,38.0,,Service-Based,"Cartoning, Upcharge, 50deposit"
energycurve,275.0,15.0,energycurve.com,Product-Based (Mixed Inventory),"Subtotal, Box Store Discount, Cash Discount"
artbrandsllc,275.0,2.0,,Product-Based (Mixed Inventory),"UPS, Custom-Chroma, FedEx"
houhyd,263.0,14.0,,NonInventory-Based (Digital/Services),"SHIPPING, SERVICE, GAGE"
miltonwbosleyandco,257.25,0.0,,NonInventory-Based (Digital/Services),"Mouldings:40000-10 SALES - MOULDING, Freight:400000-60 FREIGHT - SHIPPING, Mouldings:40000-90 SALES FINISHED-RO"
ipme,257.0,1.0,goipme.com,NonInventory-Based (Digital/Services),"misc.:misc., Shipping & Handling, Sales"
heritagesheds,254.0,47.0,heritagesheds.net,NonInventory-Based (Digital/Services),"Optionsz, Tar Paper, Shed Options:DDP"
georgiastage,252.0,45.0,georgiastage.com,NonInventory-Based (Digital/Services),"FREIGHT, DRAPES:PANEL, SKIRT"
exloc9,250.0,6.0,,Product-Based (Mixed Inventory),"Total AvaTax, Shipping Charges, Shipping Charges:Freight Out"
medallionfence,248.0,18.0,,Inventory-Based (Physical Products),"SPECIAL, 5976-PYR, 4901"
nedia,247.0,22.0,nedia.com,Product-Based (Mixed Inventory),"FDDMG1, O2071, 1646397"
permarkbadges2,245.0,5.0,permarkbadges.com,NonInventory-Based (Digital/Services),"ENGRAVING:14EN16, SHIPPING COST:SHIPPING, GRAPHIC PRODUCTS:14GP31"
smokinggoose2,245.0,3.0,smokinggoose.com,Product-Based (Mixed Inventory),"FREIGHT, 11033, 11015"
headnhome,245.0,31.0,,Product-Based (Mixed Inventory),"9-6515 CC Fees, 8-Online Discount, 8-Shipping USPS/UPS/Fedex"
simplesolutionsandinnovationsinc,245.0,16.0,,Product-Based (Mixed Inventory),"Collect Shipping, Shipping, SSI-ICLASS II-203S"
tuffeventsllc,245.0,0.0,,Inventory-Based (Physical Products),"1.1, 1, 1.3"
fencetrac2,244.0,12.0,fencetrac.com,Product-Based (Mixed Inventory),"Customer Prepayment, Freight-10, NIL 2021:PC25F-BLK-NS"
mjjdassociatesllc,236.0,134.0,abex.com,Hybrid (Mixed),"Sales, Freight, Services"
bituox,233.0,0.0,bituox.com,NonInventory-Based (Digital/Services),"PAYPAL FEE, Shipping, Shipping Cost"
woodforminteriorsltd,232.0,18.0,,Service-Based,"Woodform, CVC, CVC - Dealer"
manexusa5,228.0,32.0,manex-usa.com,Hybrid (Mixed),"Freight, Parts, Shipping"
pscfloturninc,224.0,45.0,,Product-Based (Mixed Inventory),"11111111111, Square Turn, Freight out"
dosesteel2,220.0,12.0,,Product-Based (Mixed Inventory),"Freight, Shipping & Handling, Subtotal, HEADER TRAILER:97-030500-GRN Original"
surfaceteccorp3,219.0,15.0,surfaceteccorp.com,Service-Based,"Sales:Sales, CHROME:CHROME, CHROME:CHROME COMBO:CHROME COMBO"
rayhil2,211.0,16.0,rayhil.com,Inventory-Based (Physical Products),"ALUMINUM PROFILES:LB54002, POWER SUPPLY - DRIVERS:24 VOLTS:LB55472, Shipping Charge"
ozopenergysystemsinc,208.0,15.0,,Inventory-Based (Physical Products),"Travel time to site, Travel time home, Service Time on Site"
boxgangmanufacturing2,208.0,194.0,boxgangmfg.com,NonInventory-Based (Digital/Services),"FL-BOTTOMS, PARTS, CONTAINER REPAIR"
hylunia,208.0,60.0,,Inventory-Based (Physical Products),"Subtotal, Shipping and Handling, Discount"
psipressure,200.0,9.0,,Inventory-Based (Physical Products),"FREIGHT, RENTAL, PARTS"
callanindustrial2,196.0,0.0,callanindustrial.com,,
urbanfrontltd,196.0,13.0,,Service-Based,"ZZ_PlaceHolder_5008 (deleted), ZZ_PlaceHolder_5020 (deleted), ZZ_PlaceHolder_5006 (deleted)"
boswellwindows3,196.0,0.0,helmstaxstrategy.com,Service-Based,"Product: Product, Labor: Labor / Delivery, Deposit: Deposit on Contract"
wcsoilworks,191.25,1.0,,Hybrid (Mixed),"Material, Freight/Shipping, B&L"
easternwireproducts,184.0,5.0,,Inventory-Based (Physical Products),"FREIGHT, 11J GALV 14X14, 11J GALV-12X14"
sierraloghomes,184.0,52.0,sierraloghomes.com,NonInventory-Based (Digital/Services),"M(S)MISC BLDG MTRL, Item_*inventory asset (deleted), Item_Building materials_cost of goods sold (deleted)"
nationcor,183.0,0.0,,Service-Based,"Sales, Credit Memo, Hours"
lumasam,183.0,0.0,,Product-Based (Mixed Inventory),"Freight, JA3D-C1001248, JA3D-C1001245"
MYGUTTERLOCK,181.0,13.0,,Product-Based (Mixed Inventory),"Shipping and Handling, GLD White 5"", GLD Black 5"""
hyfloequipmentcompany3,177.0,10.0,,Product-Based (Mixed Inventory),"Discount, Labor - KS/AR, Labor - MO/OK"
ceramicainc,172.0,46.0,ceramicainc.com,NonInventory-Based (Digital/Services),"FR, ADST0516 (deleted), UpchargeAS (deleted)"
westerndovetailinc2,170.0,24.0,drawer.com,Product-Based (Mixed Inventory),"Drawer, Shipping, Packaging"
webcoteindustries2,162.0,0.0,,Inventory-Based (Physical Products),"Charges BILL TO CUSTOMER:Shipping, CUSTOMER PRODUCTS:NATIONAL PEST SUPPLIES:NP72MBXP, CUSTOMER PRODUCTS:NATIONAL PEST SUPPLIES:NP72MBXU"
ssps,160.0,20.0,,Inventory-Based (Physical Products),"400, CutterSmithy . . ., Pick Up & Delivery"
tangiblecreative2,159.0,19.0,,Service-Based,"3d Printing:SLA Resin, 3d Printing:FDM PLA, Design & Modeling:3D Modeling"
bairespackusa2,159.0,15.0,bairespackusa.com,Product-Based (Mixed Inventory),"Shipping Sales, Com-Disc-Parts, Down Payment"
ocutech,156.0,7.0,,Inventory-Based (Physical Products),"9999, 9001, 9101"
okfoundry,155.0,36.0,,NonInventory-Based (Digital/Services),"Pallet Box, Surcharge24, Surcharge $0.24/lb."
pssmanufacturing,154.0,42.0,,Product-Based (Mixed Inventory),"SUB-TOTAL (LBS), Shipping, 3540"
brinksmfgco,152.0,34.0,vanladder.com,Product-Based (Mixed Inventory),"99.FreOut, 99.Alignment, 2421112"
badgerham,150.0,6.0,,Inventory-Based (Physical Products),"111, 131, 240"
vcssalesanddistribution,148.0,5.0,vcsdistribution.com,NonInventory-Based (Digital/Services),"Freight, INT-RS8O-L (deleted), INT-RS6-L (deleted)"
